symbol,price_percent_change,price,price_change
IBO,333.96,2.3,1.77
PSTV,166.48,1.362,0.85
SAG,69.63,1.145,0.47
OPTN,52.33,9.14,3.14
PRA,48.2,23.03,7.49
NOVA,45.11,0.537,0.17
RGC,43.19,44.06,13.29
NAOV,36.53,4.451,1.19
OM,35.19,11.19,2.91
LVLU,35.02,0.581,0.15
AEVA,34.73,4.19,1.08
RENT,34.07,6.48,1.65
MMA,33.8,0.95,0.24
ULY,31.68,4.859,1.17
AGH,31.66,1.06,0.25
APLM,30.53,10.39,2.43
NIPG,28.99,2.67,0.6
WINT,28.4,2.17,0.48
ZTEK,26.4,1.16,0.24
CRVO,25.61,11.77,2.4
