symbol,price,price_change,price_percent_change
SIG,56.69,8.39,17.37
STNE,11.38,1.53,15.53
SRAD,22.8,2.72,13.55
LB,80.15,7.8,10.78
ADMA,20.61,1.9,10.16
AFRM,47.71,4.01,9.18
OLLI,107.94,8.88,8.96
SRPT,79.97,6.43,8.74
IMPUY,7.03,0.53,8.19
FMCC,5.06,0.39,8.35
HCM,16.18,1.23,8.23
CORZ,8.68,0.66,8.23
SHOP,101.54,7.53,8.02
PAGS,8.52,0.63,8.05
OKLO,28.06,2.04,7.83
SMTC,41.61,2.96,7.66
HIMS,33.84,2.35,7.46
AUR,7.46,0.52,7.49
NBIS,27.58,1.91,7.44
MSTR,304.23,21.04,7.43
STRL,126.69,8.65,7.33
WGS,97.44,6.65,7.32
ROKU,72.14,4.78,7.1
BBAR,18.83,1.2,6.78
COHR,69.83,4.46,6.81
