symbol,price_percent_change,price,price_change
RSLS,268.93,1.33,0.97
BIAF,204.88,0.793,0.53
ICCT,112.05,4.75,2.51
GATE,86.64,36.6,16.99
NMAX,75.37,146.45,62.94
SATX,65.0,1.98,0.78
TCRT,51.02,2.22,0.75
NUTX,50.67,70.86,23.83
QSG,47.01,5.91,1.89
LSE,38.39,6.2,1.72
VERU,37.36,0.673,0.18
MVST,34.33,1.572,0.4
LXEH,32.73,25.71,6.34
NXU,31.84,3.52,0.85
HEPA,29.12,0.555,0.13
TOPP,28.03,1.69,0.37
CNTB,27.29,0.7,0.15
EQ,27.22,0.499,0.11
LNZA,25.65,0.304,0.06
ABVC,25.47,1.33,0.27
