symbol,price,price_change,price_percent_change
WRD,9.81,0.97,11.05
IMPUY,5.16,0.49,10.49
SMPL,36.4,3.21,9.67
HMY,14.17,1.2,9.25
XIACY,26.3,2.2,9.13
IAG,6.3,0.49,8.35
DJTWW,11.84,0.94,8.62
TKAMY,9.51,0.72,8.03
CDE,5.18,0.37,7.59
ONTO,113.43,7.83,7.42
ANGPY,5.38,0.37,7.4
DJT,17.81,1.15,6.9
EGO,16.65,1.02,6.52
AU,35.35,2.19,6.6
OLN,19.12,1.16,6.46
MPNGY,36.2,2.2,6.47
TFPM,19.53,1.18,6.46
DAL,38.04,2.16,6.02
GFI,21.22,1.17,5.86
AGI,25.9,1.4,5.69
KGC,12.64,0.68,5.69
INTC,19.17,1.04,5.71
AVAV,127.68,6.65,5.49
GT,8.93,0.45,5.25
ORLA,8.7,0.41,4.94
