symbol,price,price_change,price_percent_change
PVH,75.11,-1.32,1.73
HSAI,17.17,-0.26,1.49
CORZ,7.84,-0.16,2.0
AUOTY,5.05,0.44,9.54
RUM,7.52,-0.18,2.34
FMCC,5.71,0.36,6.73
APP,275.87,-6.83,2.42
MSTR,297.55,-8.47,2.77
DOOO,35.64,-0.11,0.31
ASAN,15.12,-0.19,1.24
HIMS,29.25,-1.8,5.8
FINV,10.06,-0.05,0.54
RDDT,105.75,-4.3,3.91
VIV,9.12,-0.01,0.1
EGO,17.57,-0.03,0.17
COOP,126.75,1.67,1.33
MOD,78.72,-1.54,1.91
KAR,19.94,-0.19,0.94
IAC,38.48,-0.78,1.99
ALGM,25.74,-0.44,1.7
OKLO,21.97,-0.56,2.49
ODD,44.19,-0.83,1.83
BPYPP,14.16,0.55,4.04
VCTR,59.04,-1.12,1.87
CRDO,40.04,-1.68,4.03
