symbol,price,price_change,price_percent_change
TTEC,5.3,2.03,62.08
TCRT,3.12,0.96,44.55
SBFM,2.74,0.67,31.97
VMAR,5.78,1.39,31.55
TIVC,3.08,0.56,22.4
ALMS,8.82,1.58,21.76
CRVO,12.03,2.05,20.54
ZYBT,6.35,1.03,19.36
SION,12.12,1.96,19.24
CGNT,9.8,1.58,19.22
WOOF,3.52,0.56,18.75
GYRE,7.5,1.09,17.0
PHAT,5.98,0.86,16.8
NOTV,2.81,0.4,16.6
VPG,27.4,3.88,16.52
ZCAR,5.36,0.74,16.02
YOSH,17.01,2.32,15.79
BNGO,3.57,0.47,15.23
AUUD,4.45,0.58,14.99
SLN,2.78,0.36,14.88
DBVT,7.38,0.92,14.24
LEDS,2.77,0.34,13.99
ANGO,11.01,1.35,13.98
RCAT,7.26,0.87,13.62
ADVM,4.35,0.52,13.58
WHLR,3.77,0.45,13.38
ALAR,7.18,0.82,12.89
DNLI,13.86,1.56,12.73
FDMT,3.37,0.38,12.71
NCT,6.07,0.67,12.41
TELO,3.07,0.33,12.04
XGN,4.4,0.47,11.96
SYTA,2.37,0.25,11.79
DMAC,4.19,0.44,11.73
ACON,12.6,1.29,11.4
NTLA,7.4,0.75,11.27
AMTM,19.88,2.01,11.25
RDW,9.48,0.94,10.95
RGTI,8.65,0.84,10.82
AMLX,3.7,0.36,10.78
CYTK,41.52,4.01,10.71
JUNE,10.45,1.0,10.58
NFE,8.36,0.78,10.22
USAR,6.92,0.64,10.19
RNA,29.42,2.68,10.02
IONQ,25.5,2.31,9.98
EBS,5.2,0.47,9.81
SEPN,5.51,0.49,9.76
PHH,12.89,1.1,9.33
RKT,13.77,1.17,9.29
ABEO,4.86,0.41,9.21
ADTX,4.93,0.41,9.07
MCRP,3.16,0.26,8.97
GRAL,27.35,2.25,8.96
VLN,2.22,0.18,8.82
AURA,6.17,0.5,8.82
PDYN,6.32,0.51,8.78
DYN,10.04,0.81,8.78
TGTX,41.06,3.31,8.77
NGNE,10.5,0.84,8.75
SURG,2.42,0.2,8.74
LGHL,3.48,0.28,8.68
IOVA,3.53,0.28,8.62
NTCL,7.44,0.59,8.61
SMC,36.11,2.86,8.6
ZBIO,8.25,0.65,8.55
SOUN,8.9,0.7,8.52
SWTX,45.4,3.52,8.42
OLMA,3.62,0.28,8.38
CACI,400.84,30.93,8.36
OMER,8.57,0.66,8.34
IDYA,15.98,1.21,8.19
OCUL,7.08,0.54,8.18
RDFN,10.35,0.78,8.15
LUNR,8.07,0.6,8.1
ACLX,65.56,4.86,8.01
ALGT,54.92,4.07,7.99
IMNM,6.76,0.5,7.99
CMPS,3.01,0.22,7.92
DNTH,18.15,1.32,7.84
SPIR,8.56,0.62,7.81
SLRN,2.7,0.2,7.77
HKD,2.22,0.16,7.77
MNMD,5.97,0.43,7.76
SIFY,4.74,0.34,7.73
VVPR,4.2,0.3,7.69
IKT,2.25,0.16,7.66
AVXL,8.63,0.61,7.61
BBAI,3.17,0.22,7.58
SLNO,73.42,5.17,7.57
AAOI,16.23,1.14,7.55
QURE,10.66,0.74,7.52
HTZ,4.0,0.28,7.49
RIME,2.17,0.15,7.43
COHR,68.4,4.7,7.37
COOP,134.27,9.19,7.35
LITE,68.26,4.67,7.34
DNA,6.07,0.41,7.24
TARA,4.3,0.29,7.23
ARCT,10.11,0.68,7.21
