symbol,price,price_change,price_percent_change
VERO,8.93,6.01,205.82
BLIV,6.4,3.3,106.45
AEHL,4.45,2.27,104.13
HUBC,3.51,1.05,42.68
TIVC,4.82,1.21,33.52
BALY,15.8,3.91,32.88
FWRD,13.85,3.35,31.9
KRUS,54.57,13.11,31.62
CPRI,16.36,3.88,31.09
AAOI,13.87,3.17,29.63
RDW,9.97,2.26,29.31
AEHR,8.76,1.98,29.2
RH,192.03,42.67,28.57
FORM,29.76,6.58,28.39
SITM,149.9,33.11,28.35
AOSL,22.84,4.98,27.88
LOVE,15.93,3.46,27.75
APPS,2.81,0.61,27.73
VFC,12.42,2.68,27.52
NDRA,5.08,1.09,27.32
ISPR,4.07,0.87,27.19
MCHP,44.9,9.56,27.05
ESTA,34.52,7.21,26.4
GES,10.94,2.28,26.33
ONTO,133.37,27.77,26.3
UAL,70.83,14.68,26.14
KSS,7.76,1.58,25.57
SEZL,38.15,7.73,25.41
EP,6.22,1.26,25.4
ICHR,20.9,4.23,25.37
CVNA,220.44,44.12,25.02
SAIH,4.43,0.88,24.79
MSTR,296.86,58.91,24.76
ENTG,78.48,15.56,24.73
RDDT,110.86,21.97,24.72
CIVI,30.3,5.99,24.64
MKSI,73.2,14.42,24.53
LGPS,4.49,0.88,24.38
ARM,106.59,20.77,24.2
WLDS,2.63,0.51,24.03
CC,11.88,2.3,24.01
IONQ,26.37,5.09,23.92
AMD,96.84,18.63,23.82
LICN,3.74,0.72,23.8
ULCC,4.08,0.78,23.64
HOOD,42.21,8.04,23.53
PI,77.24,14.7,23.5
TKNO,5.73,1.09,23.49
MPWR,561.84,106.65,23.43
DAL,44.27,8.39,23.38
AEVA,7.29,1.38,23.35
AIXI,2.75,0.52,23.32
NFE,6.68,1.26,23.25
BKKT,8.62,1.62,23.14
NGNE,9.03,1.69,23.02
SOUN,8.83,1.65,22.98
ACDC,5.3,0.99,22.97
MXL,11.25,2.1,22.95
STIM,4.08,0.76,22.89
W,29.66,5.52,22.87
SKYT,7.18,1.33,22.74
LSCC,46.44,8.6,22.73
ALGM,23.23,4.3,22.72
ON,39.2,7.25,22.69
TSLA,272.2,50.34,22.69
COHR,63.04,11.65,22.67
PPIH,11.32,2.09,22.64
JZXN,4.77,0.88,22.62
AAL,11.12,2.05,22.6
ALK,50.27,9.26,22.58
CRDO,43.27,7.97,22.58
SWKS,60.27,11.07,22.5
WWW,12.33,2.26,22.44
OLN,21.98,4.02,22.38
UCTT,21.82,3.98,22.31
QRVO,62.11,11.3,22.24
VSH,12.92,2.35,22.23
NUTX,103.79,18.85,22.19
SNAP,8.82,1.59,21.99
RMBS,52.29,9.39,21.9
XPRO,8.42,1.51,21.85
MRVL,60.96,10.93,21.85
WRD,10.77,1.93,21.83
SYNA,52.26,9.34,21.76
ENVX,6.64,1.19,21.7
DJT,20.27,3.61,21.67
PEB,9.38,1.67,21.66
RGTI,9.39,1.67,21.63
BBNX,11.81,2.1,21.63
MTSI,106.59,18.95,21.62
SNCY,11.65,2.07,21.61
AFRM,44.3,7.85,21.54
DXF,7.8,1.38,21.5
STM,21.6,3.82,21.48
TXG,8.67,1.53,21.43
VEEE,4.1,0.72,21.3
KRNT,19.17,3.36,21.25
NPWR,2.46,0.43,21.18
VET,6.58,1.15,21.18
NXPI,185.87,32.37,21.09
