symbol,price,price_change,price_percent_change
PRTG,9.6,4.89,103.82
DBVT,6.2,2.29,58.57
NTHI,17.0,5.0,41.67
LXEH,17.65,4.32,32.41
ALMS,5.64,0.94,20.0
AGX,138.16,22.93,19.9
ONEG,3.18,0.52,19.55
NXXT,3.45,0.4,13.11
BKTI,35.99,3.99,12.47
BIYA,7.18,0.79,12.36
SER,5.32,0.57,12.11
QSG,3.42,0.36,11.76
CRVO,9.48,0.98,11.53
IDN,2.88,0.29,11.2
TBH,6.61,0.66,11.09
ALMU,7.2,0.69,10.6
HMY,14.06,1.23,9.54
BOWN,7.99,0.67,9.15
GDHG,4.75,0.39,8.94
MLGO,17.35,1.41,8.85
NVCT,10.46,0.81,8.39
PHH,12.79,0.96,8.11
BLUE,4.08,0.29,7.65
WRB,71.26,4.97,7.51
JUNE,9.46,0.65,7.43
HRTG,14.78,1.0,7.26
PN,3.27,0.22,7.21
ABUS,3.5,0.23,7.03
BASE,15.67,1.01,6.89
SLNO,71.99,4.6,6.83
CPIX,4.41,0.28,6.78
AURA,6.34,0.4,6.73
ABL,7.62,0.47,6.57
ALDX,6.67,0.41,6.55
SKYH,13.7,0.83,6.45
CVAC,2.98,0.18,6.43
QUBT,8.45,0.51,6.42
III,4.0,0.23,6.1
PLSE,16.6,0.94,6.0
PDYN,6.51,0.34,5.51
JYD,7.27,0.37,5.36
AEVA,6.71,0.33,5.17
CGTL,4.3,0.2,4.88
MBX,7.76,0.35,4.72
SHMD,3.58,0.16,4.68
SVRA,2.91,0.13,4.68
ORKA,12.5,0.55,4.6
GFI,21.9,0.94,4.48
BCDA,2.8,0.12,4.48
VFS,3.39,0.14,4.31
DNLI,14.78,0.58,4.08
APP,272.38,10.68,4.08
SPCB,7.3,0.28,3.99
BKD,6.14,0.23,3.98
OM,12.58,0.47,3.88
WKSP,3.48,0.13,3.88
DOGZ,27.95,1.03,3.83
PHLT,3.0,0.11,3.81
CWT,48.26,1.75,3.76
CDTX,22.39,0.81,3.75
MPTI,43.07,1.54,3.71
BLND,3.56,0.13,3.63
RAPP,10.05,0.35,3.61
DTIL,4.7,0.16,3.52
TTEC,3.54,0.12,3.51
ECG,36.18,1.21,3.46
GIFT,2.17,0.07,3.33
DERM,6.11,0.19,3.21
ZLAB,37.29,1.11,3.07
OGS,75.94,2.21,3.0
DM,4.99,0.14,3.0
ECO,22.56,0.64,2.92
BOW,42.16,1.16,2.83
GOGL,8.36,0.22,2.7
VLGEA,36.97,0.97,2.69
DRD,14.82,0.38,2.63
NGG,65.6,1.67,2.6
YORW,34.66,0.87,2.57
AUID,6.48,0.16,2.53
PRMB,35.32,0.87,2.53
SJW,53.6,1.32,2.52
MSEX,63.48,1.53,2.47
RYTM,54.8,1.31,2.45
UTL,57.89,1.38,2.44
AVA,40.99,0.95,2.37
SNRE,48.53,1.1,2.32
ARTNA,32.67,0.74,2.32
WELL,153.38,3.46,2.31
GCBC,24.27,0.54,2.28
AU,36.99,0.81,2.24
AWK,146.26,3.2,2.24
UVE,23.36,0.51,2.23
BRZE,37.51,0.81,2.21
GO,13.25,0.28,2.16
NWN,42.59,0.9,2.16
TARS,51.74,1.09,2.15
QNTM,8.56,0.18,2.15
OPFI,9.52,0.2,2.15
ACI,21.62,0.45,2.13
PPL,35.72,0.74,2.12
