symbol,price,price_change,price_percent_change
TNXP,18.76,-1.77,8.62
SIG,58.42,10.12,20.92
ESLT,390.04,-18.49,4.53
KC,18.52,0.43,2.36
HAGHY,43.92,2.63,6.37
STVN,21.23,-0.53,2.44
SHOP,100.36,6.35,6.76
IPGP,65.91,-0.19,0.29
FRO,16.51,0.7,4.43
SITM,179.43,1.64,0.92
DB,24.51,-0.42,1.68
VWDRY,5.62,0.22,4.07
ALHC,16.26,-0.48,2.87
KLC,17.04,0.64,3.9
DFS,158.25,-0.58,0.37
IONQ,23.75,1.07,4.72
AU,34.92,0.73,2.14
EDU,52.72,0.16,0.3
GFI,21.66,0.35,1.64
MYRG,124.01,-0.33,0.27
MUFG,14.15,-0.13,0.91
AVTR,17.07,0.06,0.35
