symbol,price_percent_change,price,price_change
ICCT,104.35,4.23,2.16
MRM,92.92,0.695,0.33
PTIX,84.14,0.418,0.19
OSRH,68.03,2.47,1.0
TCRT,50.71,4.22,1.42
TIVC,49.85,4.87,1.62
GNPX,46.31,0.432,0.14
APVO,44.2,1.99,0.61
NTHI,36.86,9.58,2.58
CGTL,29.64,5.38,1.23
SPHL,25.89,0.53,0.11
JYD,24.25,0.429,0.08
OPOF,23.1,36.82,6.91
WCT,23.03,0.195,0.04
TRNR,20.39,1.08,0.18
WIMI,17.95,0.46,0.07
WLGS,17.75,0.287,0.04
AERT,17.45,0.671,0.1
CNTM,17.12,0.876,0.13
ASPS,16.78,0.823,0.12
