symbol,price,price_change,price_percent_change
PRTG,8.59,3.49,68.43
CBLL,15.0,3.85,34.53
MKTW,13.37,3.32,33.03
RGC,36.28,8.04,28.47
RXRX,5.76,1.25,27.72
SDGR,24.49,5.27,27.42
SLP,32.65,6.91,26.85
WKEY,4.23,0.88,26.27
HYFM,2.71,0.56,26.05
SBC,4.2,0.8,23.53
ABSI,3.02,0.56,23.01
CERT,12.91,2.4,22.84
NGNE,11.0,2.03,22.63
ZLAB,29.54,5.22,21.46
BGLC,2.63,0.46,21.2
PHAT,4.88,0.77,18.73
CYBN,6.8,1.06,18.47
MBX,7.41,1.14,18.18
FCUV,4.57,0.69,17.78
SLN,2.57,0.38,17.35
ZBIO,7.93,1.15,16.96
VMAR,6.76,0.97,16.75
ABCL,2.4,0.33,15.94
LHSW,3.61,0.48,15.34
SMMT,23.24,3.09,15.33
UPB,7.37,0.97,15.16
SCPH,2.32,0.3,15.14
NUTX,132.03,17.28,15.06
AZ,8.0,1.03,14.86
OMER,6.73,0.87,14.85
CRSP,39.3,5.04,14.71
OBIO,2.98,0.38,14.62
AXIL,5.1,0.65,14.61
IMNM,7.1,0.9,14.52
ORIC,4.92,0.61,14.15
XBIT,3.28,0.4,13.89
JNVR,51.21,6.24,13.88
ORGO,4.26,0.51,13.6
BTU,12.73,1.5,13.36
LPG,20.54,2.35,12.92
DNTH,17.61,2.01,12.88
METC,8.7,0.99,12.84
EDN,28.74,3.26,12.79
ZYME,10.63,1.19,12.61
SBSW,4.38,0.49,12.6
KC,14.22,1.57,12.41
IMOS,15.39,1.68,12.25
JSPR,4.16,0.45,12.13
EYPT,5.38,0.58,12.08
SKE,11.37,1.22,12.02
NG,2.81,0.3,11.95
MPTI,49.49,5.26,11.89
SA,12.48,1.32,11.83
GLNG,37.27,3.88,11.62
CVAC,3.19,0.33,11.54
RAY,2.62,0.27,11.49
XPEV,20.0,2.03,11.3
PCVX,31.2,3.16,11.27
DNA,8.12,0.82,11.23
TPCS,2.4,0.24,11.11
MASS,4.21,0.42,11.08
YMAB,4.83,0.48,11.03
OCUL,7.11,0.7,11.01
ESP,28.37,2.8,10.95
SEPN,5.72,0.56,10.85
SUPV,13.09,1.28,10.84
BBAR,17.79,1.73,10.77
ELVN,16.51,1.6,10.73
ETNB,5.53,0.54,10.71
SVRA,2.92,0.28,10.61
HYMC,3.13,0.3,10.6
ONC,230.36,22.05,10.59
OLMA,3.77,0.36,10.56
FRO,15.5,1.47,10.48
SUP,2.43,0.23,10.45
CYRX,5.77,0.54,10.33
BMA,78.85,7.35,10.28
BLUE,5.15,0.48,10.28
MXCT,2.58,0.24,10.26
SEDG,12.76,1.18,10.19
MSTR,299.98,27.64,10.15
AU,42.79,3.94,10.14
BULL,13.25,1.22,10.14
GGAL,53.87,4.95,10.12
ASPI,5.99,0.55,10.11
ABL,7.85,0.72,10.1
SNOA,2.29,0.21,10.1
ENTA,4.69,0.43,10.09
ABEO,4.6,0.42,10.05
GNK,13.19,1.2,10.01
HMR,2.75,0.25,10.0
LOMA,10.01,0.91,10.0
MPWR,533.13,48.42,9.99
IRON,38.73,3.5,9.93
MLYS,13.4,1.21,9.93
INDO,2.35,0.21,9.81
TNK,39.27,3.5,9.78
TEN,15.96,1.42,9.77
INMB,7.38,0.65,9.66
FLGT,19.0,1.67,9.64
