,symbol,price,price_change,price_percent_change
0,SIG,56.98,8.68,17.98
1,STNE,11.12,1.27,12.89
2,OLLI,110.06,11.0,11.1
3,DJTWW,13.4,1.15,9.39
4,HCM,16.33,1.38,9.2
5,FMCC,5.09,0.42,8.99
6,SRAD,21.82,1.74,8.64
7,SRPT,79.82,6.28,8.53
8,SHOP,101.29,7.28,7.74
9,DJT,21.54,1.45,7.22
10,AFRM,46.74,3.04,6.96
11,FNMA,6.07,0.39,6.87
12,IMPUY,6.94,0.44,6.78
13,NBIS,27.37,1.7,6.62
14,COHR,69.43,4.05,6.19
15,AUR,7.36,0.42,6.12
16,XPEV,24.0,1.36,6.03
17,ROKU,71.41,4.05,6.01
18,BA,170.97,9.4,5.82
19,PAGS,8.35,0.46,5.77
20,CORZ,8.49,0.47,5.86
21,MSTR,300.16,16.97,6.0
22,FIX,358.96,19.66,5.79
23,ECG,39.85,2.16,5.72
24,STRL,124.86,6.82,5.78
