,symbol,price_percent_change,price,price_change
0,PTPI,254.33,0.205,0.15
1,GRFX,251.49,1.0,0.72
2,VVPR,88.5,4.26,2.0
3,OCEA,63.03,0.0926,0.04
4,SURG,53.54,2.119,0.74
5,ATNM,37.54,2.18,0.6
6,AQB,37.39,0.93,0.25
7,LYT,30.63,0.067,0.02
8,ULY,30.16,5.09,1.18
9,BLNE,28.46,2.415,0.54
10,BNZI,25.24,1.29,0.26
11,DMN,22.67,0.0395,0.01
12,WOR,22.4,50.98,9.33
13,PLTK,22.05,5.37,0.97
14,HCAI,21.73,7.26,1.3
15,LXEH,21.33,12.62,2.22
16,LGHL,18.92,4.4,0.7
17,DGLY,18.61,0.0427,0.01
18,MOLN,18.56,4.6,0.72
19,QNTM,18.34,6.94,1.08
