,symbol,price,price_change,price_percent_change
0,DM,3.82,1.55,68.28
1,DATS,3.45,1.29,59.73
2,ALMS,5.13,1.35,35.89
3,SYTA,2.71,0.39,16.81
4,MBLY,17.24,1.98,12.98
5,DJT,22.84,1.83,8.71
6,CSIQ,10.47,0.77,7.88
7,BBAI,3.75,0.21,5.9
8,IP,54.9,2.08,3.93
9,AG,7.23,0.27,3.88
10,HIMS,38.46,1.05,2.81
11,TGB,2.48,0.07,2.69
12,TTD,60.81,1.47,2.48
13,LXEO,4.19,0.1,2.44
14,KOS,2.32,0.06,2.43
15,BTG,3.2,0.07,2.4
16,NGD,3.3,0.07,2.32
17,WYNN,86.77,1.9,2.24
18,JBLU,5.78,0.12,2.03
19,TEM,60.08,1.08,1.83
20,INFY,18.93,0.34,1.83
21,CRWD,379.16,6.51,1.75
22,UAL,81.62,1.4,1.75
23,ERIC,8.36,0.14,1.7
24,FLNC,5.39,0.09,1.7
25,GOLD,19.21,0.32,1.69
26,NFE,12.42,0.2,1.6
27,HOOD,49.13,0.77,1.59
28,VSAT,11.36,0.17,1.56
29,AZN,75.09,1.0,1.35
30,NFLX,984.33,12.34,1.27
31,META,626.68,7.83,1.27
32,VOD,9.4,0.11,1.18
33,NOK,5.39,0.06,1.13
34,IOVA,3.67,0.04,1.1
35,MRNA,34.54,0.37,1.08
36,MIST,2.07,0.02,0.98
37,GOGL,7.96,0.07,0.89
38,GOOGL,169.15,1.47,0.88
39,GOOG,171.39,1.46,0.86
40,AFRM,52.97,0.43,0.82
41,APP,342.5,2.78,0.82
42,BAC,43.4,0.33,0.75
43,LYFT,12.31,0.09,0.74
44,BKR,44.92,0.32,0.72
45,TSLA,280.32,1.93,0.69
46,PLTR,97.42,0.67,0.69
47,AMZN,204.61,1.35,0.66
48,AAL,11.9,0.07,0.63
49,T,27.13,0.17,0.63
50,SBUX,96.26,0.54,0.56
51,NWL,6.76,0.03,0.45
52,AGNC,10.18,0.04,0.44
53,PANW,185.6,0.81,0.44
54,ARCC,22.14,0.09,0.41
55,GBDC,15.24,0.06,0.4
56,NBIS,29.3,0.11,0.38
57,CVAC,3.01,0.01,0.34
58,GRAB,4.64,0.01,0.32
59,MSFT,394.28,1.2,0.31
60,RIOT,8.74,0.02,0.23
61,QFIN,44.55,0.1,0.22
62,MQ,4.49,0.01,0.22
63,FSLR,129.1,0.28,0.22
64,PYPL,71.12,0.15,0.21
65,RIVN,12.22,0.03,0.21
66,LCID,2.48,0.01,0.2
67,WBD,10.99,0.02,0.18
68,WBA,11.17,0.02,0.17
69,SMCI,41.79,0.07,0.17
70,VTRS,9.32,0.01,0.16
71,PFE,26.16,0.02,0.08
72,BIDU,95.92,0.06,0.06
73,AAPL,220.77,0.04,0.02
74,PSEC,4.24,0.0,0.0
75,SAGE,8.21,0.0,0.0
76,ARM,124.8,-0.05,-0.04
77,CSCO,60.93,-0.04,-0.07
78,KHC,29.08,-0.04,-0.14
79,MRK,92.16,-0.15,-0.16
80,MCHP,53.8,-0.1,-0.18
81,ADBE,393.75,-0.72,-0.18
82,GILD,106.53,-0.21,-0.2
83,QCOM,159.74,-0.34,-0.22
84,ENVX,8.82,-0.02,-0.23
85,NIO,4.37,-0.01,-0.23
86,KDP,33.77,-0.08,-0.24
87,SOFI,13.68,-0.04,-0.26
88,BRZE,38.0,-0.11,-0.29
89,ON,45.54,-0.14,-0.3
90,AMD,113.5,-0.35,-0.31
91,CSX,29.76,-0.1,-0.32
92,SUPV,13.94,-0.04,-0.32
93,MRVL,72.53,-0.23,-0.32
94,PARA,11.6,-0.04,-0.34
95,LRCX,77.72,-0.28,-0.35
96,INTC,24.13,-0.09,-0.37
97,CNH,12.73,-0.05,-0.39
98,CME,261.91,-1.03,-0.39
99,MDLZ,64.68,-0.28,-0.42
