,symbol,price,price_change,price_percent_change
0,LSE,12.5,4.73,60.88
1,BOWN,6.38,2.06,47.51
2,DGNX,103.0,30.94,42.94
3,CSAI,7.9,2.33,41.83
4,HURA,3.85,1.05,37.5
5,ALBT,6.54,1.73,35.97
6,EXOD,40.75,10.49,34.67
7,ADTX,10.03,2.53,33.73
8,CSCI,4.35,1.02,30.63
9,ATER,2.7,0.59,27.96
10,FBRX,7.02,1.52,27.64
11,PTHL,4.22,0.75,21.61
12,SVC,2.99,0.5,20.08
13,ELAB,5.64,0.94,20.0
14,GYRE,10.28,1.71,19.95
15,BGSF,4.21,0.66,18.59
16,LZMH,11.3,1.74,18.2
17,MGRX,4.27,0.65,17.96
18,SIG,56.65,8.35,17.29
19,MASK,3.77,0.55,17.08
20,KLRS,11.47,1.66,16.92
21,BDRX,2.34,0.33,16.13
22,AEVA,3.11,0.43,16.04
23,INMB,8.31,1.12,15.58
24,STNE,11.38,1.53,15.53
25,AIRS,2.99,0.4,15.44
26,SPCE,4.36,0.58,15.34
27,WLGS,5.48,0.72,15.13
28,SSP,3.36,0.44,15.07
29,XNET,5.11,0.63,14.06
30,VERO,3.25,0.4,14.04
31,SRAD,22.8,2.72,13.55
32,SMLR,40.04,4.55,12.82
33,IVDA,3.32,0.37,12.54
34,GHRS,11.86,1.26,11.89
35,SMR,18.53,1.95,11.76
36,WULF,3.3,0.34,11.49
37,BTDR,10.57,1.08,11.44
38,AKBA,2.84,0.29,11.37
39,NXL,2.45,0.25,11.36
40,GRO,3.73,0.38,11.34
41,SUP,2.36,0.24,11.32
42,TRVG,4.77,0.48,11.19
43,GOGO,7.7,0.77,11.11
44,LB,80.2,7.85,10.85
45,TIVC,3.48,0.33,10.48
46,ADVM,5.41,0.51,10.41
47,ADMA,20.61,1.9,10.15
48,BCTX,4.27,0.39,10.05
49,JYNT,12.43,1.13,10.0
50,TDUP,2.45,0.22,9.87
51,PHAT,6.08,0.54,9.75
52,ALTG,5.66,0.5,9.69
53,NEHC,2.51,0.22,9.61
54,STAI,2.43,0.21,9.46
55,GRCE,2.55,0.22,9.44
56,LOMA,11.26,0.97,9.43
57,LOVE,17.56,1.5,9.34
58,IREN,7.2,0.61,9.26
59,CRGX,4.15,0.35,9.21
60,ALGS,11.75,0.99,9.2
61,AFRM,47.71,4.01,9.18
62,EVEX,3.38,0.28,9.03
63,SHCO,7.27,0.6,9.0
64,DPRO,3.03,0.25,8.99
65,RGNX,8.5,0.7,8.97
66,OLLI,107.94,8.88,8.96
67,WOLF,5.93,0.48,8.81
68,AUID,5.45,0.44,8.78
69,TARA,4.71,0.38,8.78
70,SRPT,79.97,6.43,8.74
71,MLYS,16.75,1.32,8.55
72,BIOX,4.59,0.36,8.51
73,LRMR,2.57,0.2,8.44
74,LNSR,16.87,1.31,8.42
75,AQST,2.98,0.23,8.36
76,EOSE,4.44,0.34,8.29
77,REAL,6.17,0.47,8.25
78,CORZ,8.68,0.66,8.23
79,HCM,16.18,1.23,8.23
80,SKIL,19.64,1.49,8.21
81,SNBR,6.8,0.52,8.19
82,RADX,6.1,0.46,8.16
83,GNLX,4.0,0.3,8.11
84,ARIS,31.85,2.38,8.08
85,SHOP,101.54,7.53,8.01
86,PAGS,8.52,0.63,7.98
87,YMAB,4.9,0.36,7.93
88,BMEA,2.73,0.2,7.91
89,DERM,5.75,0.42,7.88
90,OKLO,28.05,2.03,7.8
91,BTAI,2.37,0.17,7.73
92,PSIX,34.52,2.46,7.67
93,CSIQ,10.53,0.75,7.67
94,SMTC,41.61,2.96,7.66
95,LTBR,9.91,0.7,7.6
96,SUPV,13.89,0.98,7.59
97,HIMS,33.88,2.39,7.59
98,ACDC,7.67,0.54,7.57
99,ASPI,4.42,0.31,7.54
