,symbol,price,price_change,price_percent_change
0,WOR,51.08,9.45,22.71
1,PLTK,5.39,0.99,22.41
2,GME,29.14,3.74,14.72
3,XNGSY,35.91,3.36,10.32
4,DOOO,38.26,2.72,7.65
5,CTAS,206.59,13.13,6.79
6,QFIN,46.88,2.65,5.99
7,ASH,60.19,3.26,5.73
8,TLK,14.7,0.62,4.44
9,DLTR,70.0,2.86,4.25
10,VNET,8.82,0.35,4.07
11,NTDOY,18.78,0.76,4.22
12,PAYX,149.81,5.68,3.94
13,DAR,30.75,1.08,3.64
14,WFRD,56.83,2.01,3.67
15,SOMMY,12.35,0.42,3.52
16,MOH,321.1,10.57,3.4
17,IAG,6.24,0.2,3.32
18,CMBT,10.05,0.31,3.18
19,TAL,13.41,0.39,2.95
20,CNC,60.75,1.81,3.07
21,MNSO,18.79,0.55,3.02
