,symbol,price,price_change,price_percent_change
0,ANGI,15.99,0.39,2.5
1,TNXP,31.05,8.02,34.81
2,TEM,55.52,4.17,8.12
3,PTON,7.16,0.2,2.95
4,W,35.08,1.42,4.21
5,RIVN,11.8,0.19,1.68
6,RDDT,120.8,5.1,4.41
7,ROKU,80.29,2.0,2.55
8,HIMS,35.2,0.45,1.29
9,COHR,72.88,4.64,6.8
10,TREX,62.53,3.1,5.21
11,OKLO,28.86,1.7,6.23
12,FMCC,5.44,0.28,5.43
13,CELH,33.5,0.57,1.73
14,ACHR,8.88,0.16,1.83
15,IONQ,23.43,1.17,5.26
16,GME,25.29,0.54,2.18
17,ROOT,170.79,10.53,6.57
18,CVNA,203.42,12.47,6.53
19,CHWY,34.6,0.74,2.19
20,VNET,9.14,0.43,4.94
21,MUFG,14.7,-0.28,1.87
22,ASTS,26.84,1.13,4.38
23,PLTR,93.44,2.48,2.73
24,HBM,8.44,0.29,3.56
