,symbol,price,price_change,price_percent_change
0,MLGO,13.99,11.47,455.16
1,TNXP,30.51,7.48,32.48
2,CLSK,8.79,1.35,18.15
3,MARA,14.61,2.23,18.01
4,AZEK,48.57,7.18,17.35
5,IONQ,26.1,3.84,17.25
6,TEM,59.0,7.65,14.9
7,OKLO,30.95,3.79,13.95
8,ASTS,29.3,3.59,13.96
9,W,37.92,4.26,12.66
10,COHR,76.81,8.57,12.56
11,TSLA,278.39,29.68,11.93
12,CVNA,213.61,22.66,11.87
13,TXHPF,20.03,2.03,11.31
14,ROOT,177.69,17.43,10.88
15,LITE,73.63,7.02,10.54
16,MSTR,335.72,31.72,10.43
17,FNMA,7.0,0.61,9.55
18,RIOT,8.72,0.77,9.69
19,CORZ,9.31,0.8,9.4
20,NFE,12.22,1.05,9.4
21,URBN,53.58,4.45,9.06
22,CRDO,50.53,4.19,9.04
23,HOOD,48.36,4.0,9.02
24,QXO,13.78,1.11,8.76
