,symbol,price,price_change,price_percent_change
0,SIG,56.69,8.39,17.37
1,STNE,11.38,1.53,15.53
2,SRAD,22.8,2.72,13.55
3,LB,80.15,7.8,10.78
4,ADMA,20.61,1.9,10.16
5,AFRM,47.71,4.01,9.18
6,OLLI,107.94,8.88,8.96
7,SRPT,79.97,6.43,8.74
8,IMPUY,7.03,0.53,8.19
9,FMCC,5.06,0.39,8.35
10,HCM,16.18,1.23,8.23
11,CORZ,8.68,0.66,8.23
12,SHOP,101.54,7.53,8.02
13,PAGS,8.52,0.63,8.05
14,OKLO,28.06,2.04,7.83
15,SMTC,41.61,2.96,7.66
16,HIMS,33.84,2.35,7.46
17,AUR,7.46,0.52,7.49
18,NBIS,27.58,1.91,7.44
19,MSTR,304.23,21.04,7.43
20,STRL,126.69,8.65,7.33
21,WGS,97.44,6.65,7.32
22,ROKU,72.14,4.78,7.1
23,BBAR,18.83,1.2,6.78
24,COHR,69.83,4.46,6.81
