,symbol,price,price_change,price_percent_change
0,STNE,11.09,-0.29,2.55
1,SRAD,22.99,0.19,0.83
2,ADMA,19.45,-1.16,5.63
3,OLLI,106.12,-1.82,1.69
4,FMCC,5.08,0.41,8.78
5,SRPT,79.67,-0.3,0.37
6,HCM,16.36,0.18,1.11
7,OKLO,27.4,-0.65,2.31
8,SMTC,41.08,-0.53,1.29
9,HIMS,33.19,-0.69,2.03
10,AUR,7.36,-0.1,1.34
11,WGS,95.79,-1.65,1.69
12,ROKU,71.39,-0.75,1.03
13,BA,171.39,-1.23,0.71
14,HOOD,42.1,-0.7,1.65
15,COHR,68.79,-0.98,1.4
16,BBAR,18.67,-0.13,0.67
17,WRBY,18.63,-0.37,1.95
18,GEO,28.62,0.45,1.6
19,SOFI,12.6,-0.12,0.98
20,APP,294.33,-2.7,0.91
21,TGTX,42.23,-0.24,0.57
22,PTEN,8.29,-0.14,1.66
23,MIRM,46.88,-0.25,0.52
24,GLNG,36.96,-0.24,0.66
