,symbol,price,price_change,price_percent_change
0,IBO,4.8,2.72,130.77
1,ALUR,3.58,1.3,57.02
2,GLTO,5.95,1.81,43.72
3,CLIK,2.85,0.8,39.02
4,LSB,2.77,0.72,35.12
5,AMPX,3.1,0.8,34.42
6,LAZR,8.34,2.06,32.72
7,OUST,11.05,2.67,31.86
8,FLD,8.4,1.98,30.84
9,RGC,57.89,12.89,28.63
10,TNXP,23.02,4.83,26.55
11,PHH,13.73,2.7,24.48
12,CRVO,14.38,2.82,24.4
13,HUHU,5.87,1.13,23.84
14,BGM,10.91,1.97,22.03
15,ZYBT,4.9,0.87,21.59
16,ONEG,2.91,0.46,18.78
17,SNWV,37.74,5.74,17.94
18,KUKE,2.94,0.44,17.58
19,VERO,3.11,0.43,16.26
20,TRVG,5.44,0.72,15.25
21,NTRP,5.24,0.69,15.16
22,JUNE,8.87,1.15,14.84
23,NAYA,2.67,0.33,14.31
24,CHCI,7.75,0.97,14.31
25,GDC,2.68,0.33,14.04
26,CLEU,2.59,0.31,13.6
27,AUID,7.01,0.73,11.62
28,SCHL,21.26,2.46,13.09
29,GRI,7.9,0.9,12.86
30,BKKT,11.84,1.32,12.55
31,IHS,5.26,0.56,11.91
32,TELO,4.56,0.48,11.76
33,ALNY,283.36,29.82,11.76
34,TTNP,4.05,0.4,10.96
35,INV,8.15,0.79,10.73
36,LODE,2.8,0.28,11.11
37,IE,7.0,0.68,10.66
38,NUKK,17.7,1.68,10.49
39,FBRX,8.33,0.79,10.48
40,AGL,4.53,0.43,10.41
41,OABI,2.51,0.24,10.57
42,ZSPC,11.13,1.03,10.2
43,MWYN,4.4,0.41,10.15
44,WOLF,6.29,0.55,9.58
45,EPWK,5.18,0.44,9.28
46,UCAR,2.78,0.23,9.22
47,KRRO,23.9,2.0,9.13
48,MASS,4.53,0.36,8.77
49,GRAL,30.21,2.4,8.64
50,ADPT,8.4,0.66,8.45
51,EP,6.2,0.47,8.3
52,AIXI,4.19,0.32,8.27
53,ICAD,2.26,0.17,8.13
54,NVCT,10.1,0.75,8.02
55,WGS,104.45,7.74,8.0
56,WKEY,4.59,0.34,8.0
57,SMTK,3.26,0.24,7.95
58,NFE,11.16,0.81,7.8
59,SMCI,42.13,3.03,7.76
60,WKSP,3.65,0.26,7.64
61,TBH,6.22,0.43,7.53
62,MASK,4.04,0.28,7.49
63,CNNE,18.75,1.3,7.45
64,ELTX,8.72,0.6,7.39
65,PTON,7.0,0.48,7.36
66,DOGZ,33.62,2.27,7.24
67,CATO,3.5,0.23,7.21
68,ICU,2.21,0.15,7.18
69,ZH,4.79,0.32,7.16
70,SSP,3.24,0.21,7.12
71,TERN,3.36,0.22,7.01
72,XERS,5.81,0.38,7.0
73,TEM,51.38,3.34,6.95
74,CDLX,2.49,0.16,6.87
75,PLCE,8.81,0.56,6.79
76,RIVN,11.61,0.73,6.71
77,RDHL,2.99,0.19,6.64
78,W,33.64,2.09,6.62
79,EVC,2.17,0.13,6.37
80,GRRR,25.17,1.5,6.34
81,RDDT,115.68,6.93,6.37
82,RFIL,4.96,0.29,6.32
83,LCID,2.42,0.14,6.14
84,ENVX,8.45,0.49,6.13
85,ROKU,78.35,4.53,6.14
86,CTEV,21.1,1.2,6.03
87,PRCH,6.78,0.38,5.94
88,NEUP,5.49,0.31,5.98
89,LPRO,3.26,0.18,5.85
90,UMAC,7.29,0.4,5.81
91,HCAI,6.93,0.38,5.8
92,MG,10.59,0.58,5.79
93,XGN,3.9,0.21,5.69
94,WEST,6.89,0.37,5.67
95,RBLX,61.18,3.26,5.63
96,HIMS,34.7,1.83,5.57
97,JYD,4.9,0.26,5.6
98,PLX,2.49,0.13,5.51
99,XYF,13.46,0.85,6.74
