,symbol,price,price_change,price_percent_change
0,TNXP,18.19,1.72,10.44
1,ACVA,15.69,1.08,7.39
2,TBBB,25.68,1.48,6.12
3,DRI,198.98,10.83,5.75
4,BOLSY,6.74,0.35,5.48
5,CVNA,185.5,9.41,5.34
6,CAMT,67.82,3.15,4.87
7,JBSAY,14.53,0.64,4.61
8,CAVA,84.68,3.68,4.54
9,BE,25.39,1.08,4.44
10,IMVT,19.69,0.81,4.29
11,CLS,95.7,3.78,4.11
12,GENI,10.04,0.39,4.04
13,CRTO,36.5,1.4,3.99
14,PDD,130.92,5.0,3.97
15,PKX,55.33,2.01,3.78
16,SAM,227.59,8.43,3.85
17,ORLA,9.29,0.32,3.57
18,PUK,20.71,0.7,3.5
19,FNMA,6.23,0.21,3.49
20,APP,306.74,9.71,3.27
21,GLNG,38.3,1.1,2.96
22,SRUUF,15.06,0.44,3.01
23,GEO,29.06,0.89,3.16
24,JBL,143.82,4.34,3.11
