,symbol,price_percent_change,price,price_change
0,MLGO,446.03,13.76,11.24
1,IMTE,281.55,2.06,1.52
2,VVPR,148.45,3.205,1.92
3,TRSG,101.96,2.06,1.04
4,CAPS,61.05,2.77,1.05
5,XHLD,53.57,2.15,0.75
6,LXEO,50.18,4.07,1.36
7,KDLY,47.02,2.22,0.71
8,ABVE,44.01,0.605,0.18
9,PRPH,39.67,0.431,0.12
10,GDHG,39.5,1.96,0.55
11,LOT,38.29,2.185,0.6
12,DOMH,33.9,5.53,1.4
13,SAIH,32.5,7.46,1.83
14,TNXP,32.31,30.47,7.44
15,PLRZ,31.65,0.735,0.18
16,FLD,31.15,8.42,2.0
17,LUNR,29.9,9.21,2.12
18,NAK,29.21,1.15,0.26
19,GATE,28.79,14.94,3.34
