,symbol,price_percent_change,price,price_change
0,XHLD,171.7,1.59,1.0
1,LSE,66.0,12.5,4.97
2,DGNX,42.94,103.0,30.94
3,HURA,37.5,3.85,1.05
4,ALBT,35.97,6.54,1.73
5,EXOD,34.67,40.75,10.49
6,ADTX,33.73,10.03,2.53
7,AGH,31.99,0.805,0.2
8,CSCI,30.24,4.35,1.01
9,ATER,27.96,2.7,0.59
10,FBRX,27.64,7.02,1.52
11,BETRW,27.6,0.0934,0.02
12,CDTG,25.16,1.94,0.39
13,PTHL,22.32,4.22,0.77
14,PMAX,22.01,0.387,0.07
15,SISI,21.95,1.0,0.18
16,BRLS,21.57,6.99,1.24
17,LYEL,20.28,0.582,0.1
18,MNTS,20.22,2.2,0.37
19,SVC,20.08,2.99,0.5
