symbol,price,price_change,price_percent_change
LSE,12.5,4.73,60.88
BOWN,6.38,2.06,47.51
DGNX,103.0,30.94,42.94
CSAI,7.9,2.33,41.83
HURA,3.85,1.05,37.5
ALBT,6.54,1.73,35.97
EXOD,40.75,10.49,34.67
ADTX,10.03,2.53,33.73
CSCI,4.35,1.02,30.63
ATER,2.7,0.59,27.96
FBRX,7.02,1.52,27.64
PTHL,4.22,0.75,21.61
SVC,2.99,0.5,20.08
ELAB,5.64,0.94,20.0
GYRE,10.28,1.71,19.95
BGSF,4.21,0.66,18.59
LZMH,11.3,1.74,18.2
MGRX,4.27,0.65,17.96
SIG,56.65,8.35,17.29
MASK,3.77,0.55,17.08
KLRS,11.47,1.66,16.92
BDRX,2.34,0.33,16.13
AEVA,3.11,0.43,16.04
INMB,8.31,1.12,15.58
STNE,11.38,1.53,15.53
AIRS,2.99,0.4,15.44
SPCE,4.36,0.58,15.34
WLGS,5.48,0.72,15.13
SSP,3.36,0.44,15.07
XNET,5.11,0.63,14.06
VERO,3.25,0.4,14.04
SRAD,22.8,2.72,13.55
SMLR,40.04,4.55,12.82
IVDA,3.32,0.37,12.54
GHRS,11.86,1.26,11.89
SMR,18.53,1.95,11.76
WULF,3.3,0.34,11.49
BTDR,10.57,1.08,11.44
AKBA,2.84,0.29,11.37
NXL,2.45,0.25,11.36
GRO,3.73,0.38,11.34
SUP,2.36,0.24,11.32
TRVG,4.77,0.48,11.19
GOGO,7.7,0.77,11.11
LB,80.2,7.85,10.85
TIVC,3.48,0.33,10.48
ADVM,5.41,0.51,10.41
ADMA,20.61,1.9,10.15
BCTX,4.27,0.39,10.05
JYNT,12.43,1.13,10.0
TDUP,2.45,0.22,9.87
PHAT,6.08,0.54,9.75
ALTG,5.66,0.5,9.69
NEHC,2.51,0.22,9.61
STAI,2.43,0.21,9.46
GRCE,2.55,0.22,9.44
LOMA,11.26,0.97,9.43
LOVE,17.56,1.5,9.34
IREN,7.2,0.61,9.26
CRGX,4.15,0.35,9.21
ALGS,11.75,0.99,9.2
AFRM,47.71,4.01,9.18
EVEX,3.38,0.28,9.03
SHCO,7.27,0.6,9.0
DPRO,3.03,0.25,8.99
RGNX,8.5,0.7,8.97
OLLI,107.94,8.88,8.96
WOLF,5.93,0.48,8.81
AUID,5.45,0.44,8.78
TARA,4.71,0.38,8.78
SRPT,79.97,6.43,8.74
MLYS,16.75,1.32,8.55
BIOX,4.59,0.36,8.51
LRMR,2.57,0.2,8.44
LNSR,16.87,1.31,8.42
AQST,2.98,0.23,8.36
EOSE,4.44,0.34,8.29
REAL,6.17,0.47,8.25
CORZ,8.68,0.66,8.23
HCM,16.18,1.23,8.23
SKIL,19.64,1.49,8.21
SNBR,6.8,0.52,8.19
RADX,6.1,0.46,8.16
GNLX,4.0,0.3,8.11
ARIS,31.85,2.38,8.08
SHOP,101.54,7.53,8.01
PAGS,8.52,0.63,7.98
YMAB,4.9,0.36,7.93
BMEA,2.73,0.2,7.91
DERM,5.75,0.42,7.88
OKLO,28.05,2.03,7.8
BTAI,2.37,0.17,7.73
PSIX,34.52,2.46,7.67
CSIQ,10.53,0.75,7.67
SMTC,41.61,2.96,7.66
LTBR,9.91,0.7,7.6
SUPV,13.89,0.98,7.59
HIMS,33.88,2.39,7.59
ACDC,7.67,0.54,7.57
ASPI,4.42,0.31,7.54
