,symbol,price,price_change,price_percent_change
0,SLNO,67.22,-0.17,0.25
1,MLGO,16.68,0.74,4.65
2,CAR,75.01,0.85,1.15
3,RIVN,12.86,-0.16,1.19
4,FINV,10.09,-0.37,3.54
5,ALC,96.07,-0.73,0.76
6,RKLB,19.64,1.22,6.62
7,LBRT,16.2,-0.02,0.12
8,IMVT,18.82,0.03,0.16
9,HMY,13.56,0.72,5.57
10,MAKSY,9.3,0.43,4.85
11,DAR,31.91,0.0,0.0
12,OLLI,113.07,0.0,0.0
13,FJTSY,20.66,0.89,4.5
14,AU,37.84,1.66,4.59
15,WING,226.34,-2.95,1.29
16,EQX,7.12,0.03,0.35
17,PARAA,23.4,-0.18,0.77
18,QFIN,47.33,-0.79,1.64
19,ANGI,16.81,-0.24,1.4
20,SRRK,33.47,0.1,0.31
21,LKNCY,34.4,1.2,3.61
22,SMMT,20.61,0.01,0.05
23,CMPGY,33.17,1.14,3.56
24,DG,87.42,-0.12,0.14
