symbol,price,price_change,price_percent_change
TNXP,18.19,1.72,10.44
ACVA,15.69,1.08,7.39
TBBB,25.68,1.48,6.12
DRI,198.98,10.83,5.75
BOLSY,6.74,0.35,5.48
CVNA,185.5,9.41,5.34
CAMT,67.82,3.15,4.87
JBSAY,14.53,0.64,4.61
CAVA,84.68,3.68,4.54
BE,25.39,1.08,4.44
IMVT,19.69,0.81,4.29
CLS,95.7,3.78,4.11
GENI,10.04,0.39,4.04
CRTO,36.5,1.4,3.99
PDD,130.92,5.0,3.97
PKX,55.33,2.01,3.78
SAM,227.59,8.43,3.85
ORLA,9.29,0.32,3.57
PUK,20.71,0.7,3.5
FNMA,6.23,0.21,3.49
APP,306.74,9.71,3.27
GLNG,38.3,1.1,2.96
SRUUF,15.06,0.44,3.01
GEO,29.06,0.89,3.16
JBL,143.82,4.34,3.11
