symbol,price,price_change,price_percent_change
NCT,8.12,2.42,42.46
KSCP,4.25,1.25,41.67
DWTX,4.12,1.12,37.35
RYET,7.0,1.78,34.1
IE,6.47,1.42,28.12
JZXN,6.49,1.38,27.01
DTIL,5.52,1.06,23.77
FRGE,11.83,2.2,22.86
SKIL,21.25,3.8,21.78
TOPW,2.86,0.49,20.68
VERV,4.97,0.85,20.63
EOSE,5.05,0.83,19.67
LXEO,2.55,0.41,19.16
AVR,3.07,0.49,18.99
NB,2.89,0.45,18.44
DGNX,138.0,19.02,15.99
TCRT,2.9,0.39,15.54
USAR,13.52,1.77,15.06
IPX,17.21,2.2,14.66
BGLC,2.65,0.33,14.22
ANRO,2.38,0.29,14.18
CTGO,14.04,1.71,13.82
AUID,8.0,0.95,13.48
TUSK,2.57,0.3,13.22
JNVR,74.45,8.51,12.91
YSG,4.15,0.47,12.77
ZYBT,5.77,0.65,12.7
PTHL,3.1,0.34,12.32
RDW,10.16,1.08,11.89
MBOT,2.55,0.27,11.84
FDMT,3.09,0.31,11.15
GAIA,3.95,0.39,10.96
AUUD,4.81,0.46,10.57
GRRR,20.01,1.9,10.49
RCKT,6.53,0.62,10.49
PHIO,2.43,0.23,10.45
SSP,2.27,0.21,10.19
BCYC,7.79,0.72,10.18
RKLB,21.07,1.94,10.14
RITR,4.06,0.36,9.73
TTAN,115.59,10.22,9.7
GYRE,8.43,0.71,9.2
DPRO,2.65,0.22,9.05
PIII,9.79,0.8,8.9
BGM,10.49,0.84,8.7
AEVA,7.8,0.62,8.64
YMAB,5.35,0.42,8.52
BLBX,3.36,0.26,8.39
HITI,2.21,0.17,8.33
VFS,3.25,0.25,8.33
ERIC,8.07,0.62,8.32
CING,4.35,0.33,8.21
SEZL,42.46,3.03,7.68
PAY,30.15,2.15,7.68
ANIX,2.85,0.2,7.55
ITOS,5.94,0.41,7.32
NXDT,3.76,0.26,7.29
LHSW,3.99,0.27,7.26
NUTX,138.97,9.3,7.17
ALTI,3.31,0.22,7.12
RLAY,2.75,0.18,6.96
VCIG,2.77,0.18,6.95
CRVS,3.24,0.21,6.93
WAVE,5.99,0.39,6.87
SION,9.52,0.61,6.85
SKE,12.18,0.78,6.84
CDTX,20.0,1.26,6.72
XNCR,9.54,0.6,6.71
CNVS,2.87,0.18,6.69
HMR,2.97,0.18,6.45
TRVG,3.66,0.22,6.4
COGT,4.87,0.29,6.33
MOGU,2.2,0.13,6.28
PLTR,98.4,5.78,6.24
ARQ,3.79,0.22,6.16
BIYA,2.42,0.14,6.14
SNOA,2.6,0.15,6.12
WOLF,2.28,0.13,6.05
ZJK,4.97,0.28,5.97
KOD,2.31,0.13,5.96
SVRE,2.31,0.13,5.96
TRML,14.93,0.84,5.96
ADMA,22.15,1.24,5.93
LOGC,6.94,0.39,5.87
CSTL,21.05,1.16,5.83
SXTP,3.45,0.19,5.83
COMM,3.64,0.2,5.81
DUOT,5.15,0.28,5.75
OPBK,11.21,0.6,5.7
AMPY,2.43,0.13,5.65
CNL,10.88,0.58,5.63
ECOR,6.21,0.33,5.61
AMBC,7.04,0.37,5.55
BZAI,3.07,0.16,5.5
RBRK,63.33,3.28,5.46
DJT,19.96,1.03,5.44
EWTX,13.0,0.67,5.43
UAA,5.74,0.29,5.42
GOCO,11.0,0.56,5.41
REAX,4.7,0.24,5.38
