symbol,price,price_change,price_percent_change
RH,178.09,-13.94,7.26
FORM,27.41,-2.35,7.9
SITM,140.33,-9.57,6.38
VFC,11.85,-0.57,4.61
MCHP,41.26,-3.64,8.1
ONTO,123.83,-9.54,7.15
UAL,67.23,-3.6,5.09
CVNA,204.23,-16.21,7.35
MSTR,284.11,-12.75,4.29
ENTG,74.32,-4.17,5.31
RDDT,104.9,-5.96,5.38
CIVI,28.19,-2.11,6.96
MKSI,69.14,-4.06,5.54
ARM,101.19,-5.39,5.06
IONQ,25.39,-0.98,3.72
MPWR,528.2,-33.64,5.99
LSCC,43.37,-3.07,6.62
ALGM,21.88,-1.35,5.81
ON,36.77,-2.43,6.2
TSLA,258.84,-13.36,4.91
COHR,59.86,-3.18,5.04
AAL,10.58,-0.54,4.86
ALK,48.31,-1.96,3.9
CRDO,41.0,-2.27,5.25
QRVO,59.13,-2.98,4.8
