symbol,price,price_change,price_percent_change
NMAX,83.51,73.51,735.1
CORT,114.22,59.59,109.08
MLGO,24.25,6.9,39.77
HMST,11.74,2.44,26.24
HCAI,7.98,1.58,24.69
RGC,31.88,6.21,24.19
ZCAR,5.01,0.89,21.45
BLUE,4.88,0.8,19.61
MDCX,3.72,0.59,18.87
GRRR,29.6,4.56,18.21
WOLF,3.06,0.47,18.15
QSG,4.02,0.6,17.54
FTCI,2.87,0.37,14.8
COOP,119.6,15.11,14.46
WGRX,4.32,0.5,13.09
HFFG,4.9,0.53,12.13
ASPI,4.69,0.51,12.07
DATS,3.86,0.41,11.88
LGPS,2.96,0.31,11.7
VRRM,22.51,2.32,11.49
OCG,2.89,0.29,11.15
MASS,4.48,0.44,10.89
SHMD,3.96,0.38,10.61
SSBK,35.75,3.26,10.03
DBVT,6.82,0.62,10.0
EHLD,4.78,0.43,9.89
LXEH,19.37,1.72,9.75
NEXN,8.35,0.73,9.58
JVA,3.55,0.31,9.57
BYON,5.8,0.49,9.23
UMC,7.15,0.6,9.16
VMAR,5.24,0.44,9.07
BKTI,39.22,3.22,8.94
ALMS,6.14,0.5,8.87
MLYS,15.88,1.22,8.32
CRT,13.17,1.0,8.19
XPOF,8.33,0.62,8.04
CMCL,12.49,0.88,7.58
CLIK,2.7,0.19,7.57
DFS,170.7,11.97,7.54
NCTY,15.01,1.05,7.52
BMGL,4.88,0.32,7.13
AUUD,3.96,0.26,7.1
LOAR,70.65,4.68,7.09
BGS,6.87,0.43,6.68
IDR,14.31,0.88,6.55
KMTS,24.92,1.49,6.36
GFR,5.87,0.35,6.34
DUOT,5.64,0.33,6.21
STHO,8.51,0.49,6.11
HYMC,3.24,0.18,5.88
CELH,35.62,1.97,5.85
JYD,7.69,0.42,5.78
SIEB,3.01,0.16,5.61
BIRD,6.44,0.34,5.57
WFF,4.0,0.21,5.54
GO,13.98,0.73,5.51
GRDN,21.26,1.11,5.51
NGVC,40.2,2.08,5.46
ZYBT,5.38,0.28,5.39
MGRM,2.94,0.15,5.38
OMI,9.03,0.45,5.24
RSVR,7.63,0.38,5.24
IDN,3.03,0.15,5.21
XPEV,20.72,1.02,5.18
GT,9.24,0.45,5.12
RC,5.09,0.24,5.06
HMY,14.77,0.71,5.05
HLXB,11.3,0.53,4.92
INGN,7.13,0.33,4.85
FFWM,5.19,0.24,4.85
KNOP,6.98,0.32,4.8
SSTK,18.63,0.84,4.72
VBNK,10.36,0.46,4.65
SBSW,4.58,0.2,4.57
BBNX,12.24,0.53,4.53
XBIT,3.24,0.14,4.52
JILL,19.53,0.84,4.49
SAFE,18.72,0.8,4.45
LYV,130.58,5.55,4.44
FOX,52.71,2.19,4.33
AEVA,7.0,0.29,4.32
DRD,15.47,0.64,4.32
LCID,2.42,0.1,4.31
EBS,4.86,0.2,4.29
INR,18.75,0.77,4.28
ARDT,13.75,0.55,4.17
NCMI,5.84,0.23,4.1
AIG,86.94,3.32,3.97
CTLP,7.87,0.3,3.96
BNED,10.5,0.4,3.96
SERA,3.68,0.14,3.95
VSTA,4.53,0.17,3.9
KLXE,3.5,0.13,3.86
INMB,7.81,0.29,3.86
ZVIA,2.16,0.08,3.85
EMBC,12.75,0.47,3.83
AMN,24.46,0.89,3.78
LTBR,7.46,0.27,3.76
MBUU,30.68,1.11,3.75
