symbol,price,price_change,price_percent_change
ANGI,15.99,0.39,2.5
TNXP,31.05,8.02,34.81
TEM,55.52,4.17,8.12
PTON,7.16,0.2,2.95
W,35.08,1.42,4.21
RIVN,11.8,0.19,1.68
RDDT,120.8,5.1,4.41
ROKU,80.29,2.0,2.55
HIMS,35.2,0.45,1.29
COHR,72.88,4.64,6.8
TREX,62.53,3.1,5.21
OKLO,28.86,1.7,6.23
FMCC,5.44,0.28,5.43
CELH,33.5,0.57,1.73
ACHR,8.88,0.16,1.83
IONQ,23.43,1.17,5.26
GME,25.29,0.54,2.18
ROOT,170.79,10.53,6.57
CVNA,203.42,12.47,6.53
CHWY,34.6,0.74,2.19
VNET,9.14,0.43,4.94
MUFG,14.7,-0.28,1.87
ASTS,26.84,1.13,4.38
PLTR,93.44,2.48,2.73
HBM,8.44,0.29,3.56
