symbol,price,price_change,price_percent_change
TTEC,4.96,1.7,51.83
CRVO,13.56,3.58,35.87
ALMS,9.79,2.55,35.27
TIVC,3.33,0.81,32.08
TCRT,2.73,0.57,26.39
CGNT,9.95,1.73,21.05
BNGO,3.74,0.64,20.52
VPG,28.3,4.79,20.37
CLNN,3.1,0.53,20.35
MCRP,3.48,0.58,20.0
HURA,3.49,0.58,19.93
SLN,2.9,0.47,19.63
HUBC,3.6,0.59,19.5
DBVT,7.7,1.24,19.2
MYNZ,3.48,0.55,18.77
NOTV,2.85,0.44,18.26
GPUS,2.73,0.41,17.93
CRWV,61.85,9.28,17.65
SION,11.88,1.72,16.93
RCAT,7.44,1.04,16.35
ZSPC,8.67,1.21,16.22
JUNE,10.98,1.53,16.19
VMAR,5.08,0.68,15.55
GLTO,3.25,0.43,15.25
AUID,5.5,0.71,14.82
MNPR,38.32,4.89,14.63
KPTI,4.05,0.51,14.41
PVLA,26.98,3.38,14.35
TRAW,2.44,0.3,14.01
TELO,3.12,0.38,13.87
ACON,12.87,1.56,13.79
IVDA,2.66,0.32,13.69
XGN,4.46,0.53,13.49
AMLX,3.78,0.45,13.32
BKKT,10.26,1.18,13.0
XYF,16.03,1.83,12.89
PHH,13.3,1.5,12.77
NFE,8.54,0.96,12.73
WOOF,3.34,0.38,12.67
ANGO,10.88,1.22,12.63
SYTA,2.38,0.27,12.5
AARD,9.3,1.01,12.18
DNLI,13.76,1.48,12.0
LGHL,3.58,0.38,11.88
ADVM,4.27,0.44,11.49
ADTX,5.05,0.53,11.73
OCUL,7.3,0.77,11.7
LUNR,8.34,0.87,11.65
AUUD,4.32,0.45,11.63
RNA,29.74,3.0,11.22
YOSH,16.33,1.64,11.16
SWTX,46.55,4.67,11.15
ZBIO,8.44,0.84,11.05
OM,12.1,1.2,10.95
ARQT,16.61,1.63,10.88
ACLX,67.21,6.51,10.72
CMPS,3.09,0.3,10.71
LEDS,2.69,0.26,10.7
IDYA,16.34,1.57,10.63
BOF,2.4,0.23,10.6
SMC,36.76,3.51,10.56
PAL,9.04,0.85,10.44
AMTM,19.73,1.85,10.38
GYRE,7.07,0.66,10.3
NTLA,7.34,0.68,10.22
USAR,6.91,0.63,10.03
RKT,13.8,1.2,9.48
SEPN,5.5,0.47,9.46
SLRN,2.74,0.23,9.36
ALAR,6.96,0.59,9.36
EBS,5.17,0.43,9.07
FDMT,3.26,0.27,9.07
ALGT,55.44,4.59,9.03
NRIX,11.41,0.94,8.98
IOVA,3.54,0.29,8.92
MRX,38.85,3.17,8.88
SMMT,20.45,1.66,8.8
ECOR,6.73,0.54,8.72
MRUS,43.02,3.42,8.64
RGTI,8.49,0.68,8.71
SIFY,4.78,0.38,8.64
ZVIA,2.39,0.19,8.64
XOS,3.28,0.26,8.61
HTZ,4.04,0.32,8.47
NUKK,13.79,1.06,8.33
ARCT,10.22,0.79,8.32
CANG,4.17,0.32,8.31
MREO,2.35,0.18,8.29
SEI,22.93,1.75,8.26
OCG,3.41,0.26,8.25
NGNE,10.45,0.8,8.23
IONQ,25.1,1.91,8.21
FTCI,2.98,0.23,8.18
AKRO,41.8,3.16,8.18
SRRK,32.51,2.44,8.13
UWMC,5.78,0.43,8.13
SONM,3.2,0.24,8.12
IMVT,16.43,1.24,8.12
PDYN,6.28,0.47,8.09
DTI,2.48,0.18,8.08
