symbol,price_percent_change,price,price_change
XHLD,166.58,1.56,0.97
LSE,59.07,12.36,4.59
BOWN,47.75,6.39,2.07
DGNX,44.3,103.99,31.92
ALBT,39.71,6.72,1.91
HURA,36.43,3.82,1.02
EXOD,34.91,40.83,10.57
OSRH,34.54,1.79,0.46
ADTX,33.07,9.98,2.48
AGH,32.76,0.81,0.2
ATER,31.75,2.78,0.67
FBRX,30.0,7.15,1.65
BETRW,27.6,0.0934,0.02
CSCI,25.15,4.18,0.84
SISI,22.19,1.0,0.18
CLIK,21.34,1.99,0.35
MNTS,20.49,2.205,0.37
BGSF,20.0,4.26,0.71
CDTG,20.0,1.92,0.32
MGRX,19.89,4.34,0.72
