,symbol,price,price_change,price_percent_change
0,CNXC,64.97,19.29,42.23
1,SLNO,67.49,18.52,37.82
2,MLGO,15.82,3.96,33.39
3,WOOF,3.18,0.74,30.53
4,BIYA,6.23,1.34,27.4
5,KUKE,3.04,0.6,24.59
6,JFIN,14.96,2.86,23.64
7,HTZ,4.23,0.78,22.61
8,IBRX,3.36,0.57,20.68
9,CAR,74.23,12.68,20.6
10,QNTM,8.27,1.32,18.99
11,GRO,3.53,0.48,15.74
12,TNON,2.8,0.38,15.7
13,CRVO,8.68,0.97,12.58
14,ASPI,4.72,0.53,12.53
15,CATO,3.87,0.43,12.5
16,NIU,4.86,0.52,11.98
17,JYD,6.92,0.74,11.97
18,ETNB,8.98,0.96,11.94
19,SMTK,3.42,0.36,11.93
20,SATL,4.2,0.45,11.87
21,HMR,3.53,0.37,11.84
22,EDAP,2.29,0.24,11.71
23,PHH,11.84,1.24,11.7
24,EPSM,5.38,0.56,11.62
25,FORD,4.4,0.45,11.29
26,DLTR,77.02,7.81,11.28
27,VERO,3.65,0.37,11.28
28,SIFY,4.74,0.47,11.12
29,BIOX,4.86,0.48,10.96
30,NVCT,9.69,0.94,10.74
31,MLKN,20.29,1.95,10.63
32,SLN,3.67,0.35,10.54
33,UPC,5.36,0.51,10.52
34,YRD,7.37,0.7,10.49
35,NCTY,14.51,1.36,10.34
36,BZFD,2.37,0.21,10.0
37,CLMT,13.46,1.23,10.07
38,MIST,2.21,0.2,9.95
39,ZGN,7.76,0.69,9.68
40,AEVA,6.36,0.56,9.57
41,ALMU,6.68,0.58,9.51
42,CGTL,4.15,0.36,9.5
43,RXST,26.64,2.27,9.31
44,DNTH,19.94,1.67,9.14
45,YOSH,16.2,1.35,9.09
46,SNBR,6.73,0.55,8.9
47,PESI,8.16,0.66,8.8
48,CAAS,5.24,0.42,8.72
49,LAZR,6.15,0.49,8.66
50,NUS,7.52,0.58,8.44
51,WGO,37.66,2.9,8.33
52,MASK,3.91,0.29,8.01
53,TATT,27.95,2.05,7.92
54,LANV,2.32,0.17,7.91
55,RIVN,13.04,0.94,7.77
56,VSTA,4.33,0.3,7.58
57,HCM,15.28,1.06,7.45
58,TRVG,5.07,0.35,7.42
59,DM,4.86,0.34,7.4
60,CMPR,45.39,2.98,7.03
61,ORIC,6.26,0.41,7.01
62,SKGR,12.68,0.83,7.0
63,XPOF,8.48,0.56,7.0
64,WNC,11.94,0.78,6.99
65,ATER,2.42,0.15,6.83
66,IBO,2.35,0.15,6.82
67,AAP,40.38,2.56,6.77
68,ZLAB,36.2,2.29,6.75
69,CCB,92.24,5.83,6.75
70,SCS,11.31,0.71,6.7
71,RZLT,2.91,0.18,6.59
72,FINV,10.45,0.64,6.52
73,MTSR,29.94,1.83,6.51
74,VTEX,5.18,0.32,6.48
75,VRA,2.4,0.14,6.44
76,USAR,6.12,0.37,6.43
77,NEOG,8.97,0.54,6.41
78,PROP,5.7,0.34,6.34
79,HAIN,4.16,0.24,6.27
80,TTI,3.75,0.22,6.23
81,HPP,3.0,0.17,6.18
82,ALC,96.86,5.54,6.06
83,GOTU,3.35,0.19,6.01
84,LRMR,2.38,0.14,6.0
85,PRM,10.62,0.6,5.99
86,OPRT,6.04,0.34,5.96
87,FUL,57.55,3.23,5.95
88,NUKK,15.36,0.86,5.93
89,LE,10.87,0.6,5.84
90,COYA,6.89,0.38,5.84
91,IQ,2.37,0.13,5.8
92,CURV,5.75,0.31,5.7
93,GPRE,5.38,0.29,5.7
94,DENN,4.0,0.21,5.67
95,TUSK,2.26,0.12,5.61
96,DBI,3.97,0.21,5.59
97,NEOV,2.46,0.13,5.58
98,DOMH,5.3,0.28,5.58
99,CING,4.37,0.23,5.56
