symbol,price,price_change,price_percent_change
DM,3.82,1.55,68.28
DATS,3.45,1.29,59.73
ALMS,5.13,1.35,35.89
SYTA,2.71,0.39,16.81
MBLY,17.24,1.98,12.98
DJT,22.84,1.83,8.71
CSIQ,10.47,0.77,7.88
BBAI,3.75,0.21,5.9
IP,54.9,2.08,3.93
AG,7.23,0.27,3.88
HIMS,38.46,1.05,2.81
TGB,2.48,0.07,2.69
TTD,60.81,1.47,2.48
LXEO,4.19,0.1,2.44
KOS,2.32,0.06,2.43
BTG,3.2,0.07,2.4
NGD,3.3,0.07,2.32
WYNN,86.77,1.9,2.24
JBLU,5.78,0.12,2.03
TEM,60.08,1.08,1.83
INFY,18.93,0.34,1.83
CRWD,379.16,6.51,1.75
UAL,81.62,1.4,1.75
ERIC,8.36,0.14,1.7
FLNC,5.39,0.09,1.7
GOLD,19.21,0.32,1.69
NFE,12.42,0.2,1.6
HOOD,49.13,0.77,1.59
VSAT,11.36,0.17,1.56
AZN,75.09,1.0,1.35
NFLX,984.33,12.34,1.27
META,626.68,7.83,1.27
VOD,9.4,0.11,1.18
NOK,5.39,0.06,1.13
IOVA,3.67,0.04,1.1
MRNA,34.54,0.37,1.08
MIST,2.07,0.02,0.98
GOGL,7.96,0.07,0.89
GOOGL,169.15,1.47,0.88
GOOG,171.39,1.46,0.86
AFRM,52.97,0.43,0.82
APP,342.5,2.78,0.82
BAC,43.4,0.33,0.75
LYFT,12.31,0.09,0.74
BKR,44.92,0.32,0.72
TSLA,280.32,1.93,0.69
PLTR,97.42,0.67,0.69
AMZN,204.61,1.35,0.66
AAL,11.9,0.07,0.63
T,27.13,0.17,0.63
SBUX,96.26,0.54,0.56
NWL,6.76,0.03,0.45
AGNC,10.18,0.04,0.44
PANW,185.6,0.81,0.44
ARCC,22.14,0.09,0.41
GBDC,15.24,0.06,0.4
NBIS,29.3,0.11,0.38
CVAC,3.01,0.01,0.34
GRAB,4.64,0.01,0.32
MSFT,394.28,1.2,0.31
RIOT,8.74,0.02,0.23
QFIN,44.55,0.1,0.22
MQ,4.49,0.01,0.22
FSLR,129.1,0.28,0.22
PYPL,71.12,0.15,0.21
RIVN,12.22,0.03,0.21
LCID,2.48,0.01,0.2
WBD,10.99,0.02,0.18
WBA,11.17,0.02,0.17
SMCI,41.79,0.07,0.17
VTRS,9.32,0.01,0.16
PFE,26.16,0.02,0.08
BIDU,95.92,0.06,0.06
AAPL,220.77,0.04,0.02
PSEC,4.24,0.0,0.0
SAGE,8.21,0.0,0.0
ARM,124.8,-0.05,-0.04
CSCO,60.93,-0.04,-0.07
KHC,29.08,-0.04,-0.14
MRK,92.16,-0.15,-0.16
MCHP,53.8,-0.1,-0.18
ADBE,393.75,-0.72,-0.18
GILD,106.53,-0.21,-0.2
QCOM,159.74,-0.34,-0.22
ENVX,8.82,-0.02,-0.23
NIO,4.37,-0.01,-0.23
KDP,33.77,-0.08,-0.24
SOFI,13.68,-0.04,-0.26
BRZE,38.0,-0.11,-0.29
ON,45.54,-0.14,-0.3
AMD,113.5,-0.35,-0.31
CSX,29.76,-0.1,-0.32
SUPV,13.94,-0.04,-0.32
MRVL,72.53,-0.23,-0.32
PARA,11.6,-0.04,-0.34
LRCX,77.72,-0.28,-0.35
INTC,24.13,-0.09,-0.37
CNH,12.73,-0.05,-0.39
CME,261.91,-1.03,-0.39
MDLZ,64.68,-0.28,-0.42
