,symbol,price,price_change,price_percent_change
0,DJTWW,14.74,1.61,12.26
1,DJT,22.87,1.86,8.85
2,MBLY,16.58,1.32,8.65
3,EPAC,47.02,3.64,8.39
4,SAND,7.37,0.52,7.59
5,IP,56.26,3.43,6.49
6,EGO,16.59,0.88,5.6
7,TKC,6.21,0.32,5.43
8,FMCC,6.26,0.31,5.21
9,BBAR,19.9,0.89,4.68
10,X,43.0,1.85,4.5
11,TTD,62.0,2.66,4.48
12,PRMB,33.52,1.43,4.46
13,APPF,230.33,9.73,4.41
14,ETSY,47.82,1.96,4.27
15,BMA,84.61,3.41,4.2
16,INTA,64.18,2.56,4.15
17,YPF,37.67,1.5,4.15
18,YOU,27.51,1.01,3.81
19,CVNA,221.66,8.03,3.76
20,QRVO,75.63,2.72,3.73
21,SBS,17.86,0.64,3.72
22,CLBT,20.61,0.73,3.67
23,CX,6.28,0.22,3.63
24,SOMMY,12.35,0.42,3.52
