,symbol,price,price_change,price_percent_change
0,DJT,22.97,1.95,9.31
1,DJTWW,14.32,1.19,9.06
2,EPAC,46.48,3.1,7.16
3,MBLY,16.36,1.1,7.21
4,IP,56.22,3.39,6.42
5,SAND,7.32,0.47,6.79
6,EGO,16.68,0.97,6.21
7,TKC,6.22,0.34,5.69
8,TEO,11.0,0.51,4.86
9,YPF,37.96,1.79,4.95
10,PBR,14.59,0.62,4.44
11,SSRM,11.29,0.48,4.44
12,BAYRY,6.31,0.26,4.3
13,NET,129.03,5.1,4.12
14,SBS,17.99,0.77,4.47
15,EQX,7.05,0.28,4.21
16,ZIJMY,47.48,1.88,4.11
17,ETSY,47.67,1.81,3.95
18,CVNA,222.0,8.37,3.92
19,PRCT,63.05,2.15,3.53
20,CAAP,19.09,0.69,3.71
21,CLF,9.65,0.36,3.82
22,CRWD,386.52,13.88,3.72
23,JBAXY,14.62,0.51,3.61
24,CX,6.28,0.22,3.55
