,symbol,price,price_change,price_percent_change
0,WOR,51.52,9.89,23.76
1,GME,28.36,2.96,11.65
2,XNGSY,36.1,3.55,10.91
3,DOOO,38.23,2.69,7.57
4,CTAS,204.71,11.25,5.82
5,BKRKY,12.04,0.64,5.61
6,VNET,8.9,0.42,4.95
7,ASH,59.72,2.79,4.9
8,QFIN,46.37,2.14,4.84
9,PAYX,150.19,6.06,4.2
10,MOH,323.44,12.91,4.16
11,TLK,14.66,0.58,4.12
12,SOMMY,12.35,0.42,3.52
13,CAR,61.55,2.07,3.48
14,TAL,13.48,0.45,3.45
15,SYY,72.75,2.36,3.35
16,STZ,184.11,5.75,3.22
17,PII,42.96,1.34,3.22
18,IMPUY,6.75,0.21,3.21
19,ANGPY,6.76,0.21,3.21
20,DLTR,69.21,2.07,3.08
21,TAP,60.56,1.8,3.06
