symbol,price,price_change,price_percent_change
RXRX,5.43,0.92,20.42
ZLAB,28.37,4.05,16.65
SMMT,22.89,2.74,13.6
BBAR,17.85,1.79,11.15
KC,13.93,1.28,10.12
AU,42.78,3.93,10.13
BMA,78.68,7.18,10.04
NEM,55.41,4.47,8.78
CDE,5.97,0.48,8.83
GLNG,36.2,2.81,8.41
GGAL,53.23,4.31,8.83
ANGPY,6.0,0.45,8.33
HCM,13.52,0.99,7.86
FRO,15.13,1.1,7.84
XPEV,19.3,1.33,7.37
TGS,25.0,1.71,7.32
PAM,69.43,4.37,6.69
EGO,19.27,1.27,7.06
MSTR,292.0,19.66,7.22
IMPUY,5.96,0.38,6.81
GOLD,20.53,1.29,6.69
CRSP,36.56,2.3,6.71
ORLA,10.44,0.56,5.67
RNECY,5.72,0.34,6.33
BVN,14.88,0.88,6.25
