,symbol,price,price_change,price_percent_change
0,DATS,4.3,2.14,99.07
1,DM,4.33,2.06,90.74
2,MKFG,4.23,0.95,28.91
3,KBSX,2.78,0.52,22.79
4,FUFU,5.4,0.94,21.08
5,EHLD,6.1,1.06,21.03
6,MLGO,16.84,2.85,20.37
7,ZYBT,6.94,1.14,19.66
8,AVTX,9.02,1.39,18.15
9,RGC,47.57,6.57,16.02
10,ROLR,3.42,0.47,15.93
11,HMR,3.51,0.44,14.36
12,ECX,3.04,0.28,10.36
13,WKHS,2.41,0.22,10.05
14,PRCH,7.49,0.63,9.18
15,TIPT,25.32,2.08,8.96
16,SKYH,13.05,1.07,8.93
17,ALMS,4.11,0.33,8.77
18,XTIA,2.73,0.21,8.33
19,AISP,4.9,0.37,8.19
20,DJT,22.72,1.72,8.16
21,AEVA,5.12,0.38,8.02
22,NB,2.33,0.17,7.87
23,DTSS,2.47,0.17,7.52
24,EPAC,46.53,3.15,7.26
25,OPRX,9.64,0.64,7.11
26,SPRU,2.66,0.17,7.06
27,SAND,7.33,0.48,6.95
28,MASK,3.61,0.23,6.8
29,SEG,22.67,1.36,6.38
30,EGO,16.71,1.0,6.37
31,CHCI,9.85,0.57,6.2
32,MBLY,16.19,0.93,6.1
33,NBR,45.59,2.45,5.68
34,UAMY,2.36,0.13,5.61
35,AENT,4.02,0.21,5.51
36,AXGN,19.14,0.99,5.45
37,IP,55.7,2.87,5.43
38,ZENA,3.15,0.16,5.35
39,TKC,6.2,0.32,5.35
40,SUPV,14.72,0.74,5.29
41,BBD,2.34,0.12,5.28
42,PHUN,3.23,0.16,5.21
43,CNR,78.62,3.89,5.21
44,SYTA,2.44,0.12,5.17
45,SUP,2.57,0.12,4.9
46,LWAY,25.14,1.17,4.88
47,BRFS,3.5,0.16,4.84
48,EXFY,3.51,0.16,4.78
49,SAIL,22.24,1.01,4.76
50,NGD,3.38,0.15,4.64
51,POET,4.34,0.19,4.58
52,RFIL,4.8,0.21,4.58
53,VSAT,11.69,0.5,4.47
54,ACDC,8.12,0.35,4.46
55,GPRK,8.1,0.34,4.45
56,DQ,18.86,0.8,4.43
57,BZAI,3.32,0.14,4.4
58,BIOX,4.27,0.18,4.4
59,SBS,17.98,0.76,4.38
60,BEEM,2.3,0.1,4.35
61,SPIR,9.01,0.37,4.28
62,XIFR,9.78,0.4,4.26
63,ZJK,5.44,0.22,4.21
64,NXGL,3.22,0.13,4.21
65,UGP,3.23,0.13,4.19
66,SEAT,2.86,0.12,4.18
67,CGAU,6.36,0.26,4.18
68,TRVI,6.66,0.27,4.14
69,EQX,7.05,0.28,4.14
70,LOMA,11.62,0.46,4.12
71,INTR,5.84,0.23,4.1
72,CAAP,19.15,0.75,4.08
73,WGRX,4.11,0.16,4.05
74,PUBM,10.3,0.4,4.04
75,ETSY,47.69,1.83,3.99
76,CVNA,222.15,8.52,3.99
77,CURI,3.02,0.11,3.79
78,NN,13.24,0.48,3.76
79,BBAR,19.72,0.71,3.73
80,BMA,84.2,3.0,3.69
81,TITN,18.42,0.65,3.66
82,IBTA,43.17,1.52,3.65
83,BOW,40.68,1.43,3.64
84,FSM,6.16,0.21,3.62
85,BIYA,4.3,0.15,3.61
86,YPF,37.47,1.3,3.59
87,MRVI,2.32,0.08,3.57
88,PBR,14.46,0.49,3.54
89,TEO,10.86,0.37,3.53
90,ITUB,5.78,0.2,3.49
91,MUX,8.04,0.27,3.47
92,SARO,29.73,0.99,3.44
93,NIPG,2.13,0.07,3.39
94,CSAN,5.51,0.18,3.38
95,IDR,14.26,0.47,3.37
96,RYAM,5.68,0.18,3.37
97,MTA,3.08,0.1,3.34
98,PRCT,62.9,2.0,3.28
99,ACMR,28.64,0.91,3.26
