,symbol,price,price_change,price_percent_change
0,VVPR,4.18,1.92,84.96
1,LXEH,18.21,7.81,75.1
2,EDBL,3.84,0.94,32.7
3,LZMH,9.99,2.33,30.42
4,ULY,4.84,0.93,23.79
5,WOR,51.52,9.89,23.76
6,ALMS,4.92,0.92,23.0
7,LICN,4.6,0.8,21.05
8,EPSM,4.82,0.82,20.5
9,PLTK,5.3,0.9,20.45
10,BOF,2.65,0.42,18.83
11,QNTM,6.95,1.09,18.6
12,HCAI,7.03,1.07,17.95
13,SOPH,3.68,0.56,17.95
14,XYF,15.31,2.31,17.77
15,JYD,6.18,0.78,14.44
16,NGNE,16.14,1.94,13.66
17,CGTL,3.79,0.44,13.13
18,VS,2.35,0.26,12.44
19,LGHL,4.16,0.46,12.43
20,BIYA,4.89,0.54,12.41
21,GDHG,4.27,0.46,12.07
22,BAK,4.13,0.44,11.92
23,AEVA,5.8,0.61,11.75
24,TZUP,4.5,0.47,11.66
25,GME,28.36,2.96,11.65
26,PHH,10.6,1.06,11.11
27,QSG,3.0,0.3,11.11
28,BYON,5.36,0.53,10.97
29,TBH,6.07,0.56,10.16
30,XGN,4.25,0.39,10.1
31,PRM,10.02,0.91,9.99
32,ICU,2.43,0.22,9.95
33,HFFG,4.79,0.43,9.86
34,RENT,5.17,0.45,9.53
35,NAYA,2.48,0.2,8.77
36,KGEI,7.87,0.63,8.7
37,KYTX,2.5,0.2,8.7
38,UPC,4.85,0.35,7.78
39,ARKR,10.1,0.72,7.73
40,DOOO,38.23,2.69,7.57
41,GV,3.42,0.24,7.55
42,SYTA,2.17,0.15,7.43
43,PN,3.96,0.26,7.03
44,CYD,18.22,1.19,6.99
45,AVD,4.5,0.29,6.89
46,HOND,10.8,0.66,6.51
47,PRAX,38.19,2.33,6.5
48,AMPY,3.96,0.24,6.45
49,UHG,3.14,0.19,6.44
50,GMGI,2.15,0.13,6.44
51,TH,6.52,0.39,6.36
52,WVE,10.02,0.58,6.14
53,CTAS,204.71,11.25,5.82
54,KNOP,6.74,0.37,5.81
55,EVC,2.22,0.12,5.71
56,PRTA,13.37,0.72,5.69
57,GO,12.9,0.69,5.65
58,CATO,3.44,0.18,5.52
59,REX,38.61,2.0,5.46
60,GRAB,4.78,0.24,5.29
61,STRW,11.94,0.59,5.2
62,PLCE,9.2,0.44,5.02
63,ACTU,8.0,0.38,4.99
64,VNET,8.9,0.42,4.95
65,ASH,59.72,2.79,4.9
66,NPCE,12.72,0.59,4.86
67,QFIN,46.37,2.14,4.84
68,NIU,4.34,0.2,4.83
69,RERE,3.15,0.14,4.65
70,OCX,3.18,0.14,4.61
71,HTZ,3.45,0.15,4.55
72,BIOX,4.38,0.19,4.53
73,MWYN,4.38,0.18,4.29
74,HAIN,3.91,0.16,4.27
75,PAYX,150.19,6.06,4.2
76,RILY,4.22,0.17,4.2
77,GPUS,2.5,0.1,4.17
78,MOH,323.44,12.91,4.16
79,TLK,14.66,0.58,4.12
80,FFWM,4.93,0.19,4.01
81,LIPO,2.6,0.1,4.0
82,ELAB,5.1,0.19,3.87
83,NOA,16.99,0.63,3.85
84,DIBS,3.1,0.11,3.68
85,HBB,19.79,0.7,3.67
86,USNA,27.22,0.96,3.66
87,TALO,9.57,0.33,3.57
88,FLIC,12.49,0.43,3.57
89,UVE,22.72,0.78,3.56
90,CING,4.14,0.14,3.5
91,CNOB,24.56,0.83,3.5
92,MKFG,4.45,0.15,3.49
93,CAR,61.55,2.07,3.48
94,HCI,145.35,4.88,3.47
95,TAL,13.48,0.45,3.45
96,ADNT,15.09,0.5,3.43
97,KINS,16.67,0.55,3.41
98,ACIC,11.87,0.39,3.4
99,CABO,273.42,8.96,3.39
