symbol,price_percent_change,price,price_change
VCIG,1761.32,5.88,5.56
MKTW,1686.75,9.2,8.69
ICCT,106.28,4.27,2.2
PTIX,83.61,0.417,0.19
MRM,74.35,0.645,0.28
TCRT,48.41,4.156,1.36
TIVC,48.31,4.82,1.57
GNPX,46.31,0.432,0.14
APVO,44.2,1.99,0.61
LOCL,34.1,2.816,0.72
CGTL,30.84,5.43,1.28
JYD,24.23,0.429,0.08
SPHL,24.09,0.522,0.1
WCT,23.09,0.195,0.04
OPOF,22.87,36.75,6.84
MCRP,22.76,3.56,0.66
TRNR,22.62,1.1,0.2
LZMH,21.93,8.73,1.57
WLGS,17.66,0.287,0.04
ASPS,17.05,0.825,0.12
