symbol,price_percent_change,price,price_change
VERO,172.6,7.96,5.04
AEHL,126.61,4.94,2.76
FATN,126.09,13.0,7.25
PHIO,54.95,1.565,0.55
TIVC,50.14,5.42,1.81
ICCT,44.79,4.72,1.46
WORX,44.6,1.151,0.36
SGN,43.89,0.907,0.28
GTI,27.35,0.119,0.03
MRM,21.53,0.692,0.12
HEPA,20.39,0.494,0.08
ISPR,18.75,3.8,0.6
HUBC,18.21,2.908,0.45
JDZG,18.0,0.59,0.09
NDRA,17.54,4.69,0.7
LXEH,16.68,32.76,4.68
ISPC,16.56,1.399,0.2
KLRS,16.55,8.24,1.17
HUMA,16.52,1.34,0.19
NC,16.13,37.2,5.17
