symbol,price,price_change,price_percent_change
GT,10.46,1.34,14.68
LW,59.74,5.59,10.32
VTMX,24.78,1.98,8.68
MOH,356.42,27.93,8.5
SAABY,20.99,1.47,7.51
TSCDY,13.76,0.9,7.0
DANOY,16.12,0.89,5.84
WMMVY,29.84,1.6,5.67
NGG,69.47,3.69,5.62
STNE,11.32,0.59,5.5
ORANY,13.7,0.69,5.31
CNC,63.9,3.17,5.21
ALHC,18.78,0.93,5.21
UL,62.83,2.97,4.96
DG,94.64,4.44,4.93
KR,70.36,3.09,4.59
AWK,152.95,6.76,4.62
FMS,25.88,1.15,4.65
PAGS,8.36,0.37,4.63
SBS,18.73,0.81,4.52
CCEP,91.06,3.65,4.18
UNH,545.28,22.08,4.22
BAESY,86.11,3.35,4.04
AMX,15.05,0.59,4.08
ELV,446.46,17.13,3.99
