,symbol,price_percent_change,price,price_change
0,LGHL,5521.62,4.16,4.09
1,GRFX,364.29,1.3,1.02
2,OSRH,136.88,3.79,2.19
3,PTPI,133.56,0.135,0.08
4,VVPR,84.96,4.18,1.92
5,LXEH,75.1,18.21,7.81
6,SURG,70.29,2.35,0.97
7,AQB,50.73,1.02,0.34
8,OCEA,47.36,0.0837,0.03
9,EDBL,32.7,3.835,0.95
10,DGLY,31.94,0.0475,0.01
11,LZMH,30.42,9.99,2.33
12,RDGT,29.1,1.212,0.27
13,HOUR,26.58,2.0,0.42
14,BNZI,26.21,1.3,0.27
15,ULY,23.79,4.84,0.93
16,WOR,23.76,51.52,9.89
17,AREB,23.64,0.136,0.03
18,LYT,23.12,0.0623,0.01
19,ALMS,23.0,4.92,0.92
