symbol,price_percent_change,price,price_change
VERO,210.07,8.93,6.05
BLIV,105.13,6.4,3.28
AEHL,104.13,4.45,2.27
PHIO,52.48,1.54,0.53
SGN,47.62,0.93,0.3
ADD,44.22,1.06,0.33
HUBC,42.68,3.51,1.05
LDTC,41.69,0.484,0.14
MRM,40.6,0.8,0.23
LUCY,38.42,2.45,0.68
FLYE,38.12,0.525,0.14
HAO,34.62,1.4,0.36
TIVC,33.52,4.82,1.21
HUMA,33.04,1.53,0.38
SUP,32.6,2.4,0.59
FWRD,31.9,13.85,3.35
BSGM,31.85,0.63,0.15
KRUS,31.62,54.57,13.11
CPRI,31.09,16.36,3.88
LXEO,29.67,2.36,0.54
