symbol,price,price_change,price_percent_change
HMY,15.84,1.15,7.79
SMMT,19.44,1.21,6.64
GFI,23.06,1.51,7.01
PSMT,89.97,4.18,4.87
AU,38.11,1.69,4.64
GDS,20.47,1.03,5.33
ALHC,19.41,0.87,4.69
ORLA,9.72,0.44,4.74
IAG,6.79,0.28,4.3
AGL,5.38,0.2,3.76
AEM,110.19,4.39,4.15
KNTNF,8.77,0.34,4.03
NCLTY,11.4,0.44,4.01
TAL,10.01,0.36,3.73
AGI,27.61,1.07,4.03
KGC,13.48,0.46,3.53
ACT,34.71,1.34,4.0
SAND,7.48,0.25,3.46
FNV,155.66,5.44,3.62
RGLD,169.74,5.2,3.17
SSDOY,17.05,0.51,3.08
EQX,6.42,0.17,2.72
OR,21.01,0.6,2.94
WPM,76.89,2.26,3.04
TTNDY,48.39,1.41,3.0
