symbol,price,price_change,price_percent_change
SIG,56.98,8.68,17.98
STNE,11.12,1.27,12.89
OLLI,110.06,11.0,11.1
DJTWW,13.4,1.15,9.39
HCM,16.33,1.38,9.2
FMCC,5.09,0.42,8.99
SRAD,21.82,1.74,8.64
SRPT,79.82,6.28,8.53
SHOP,101.29,7.28,7.74
DJT,21.54,1.45,7.22
AFRM,46.74,3.04,6.96
FNMA,6.07,0.39,6.87
IMPUY,6.94,0.44,6.78
NBIS,27.37,1.7,6.62
COHR,69.43,4.05,6.19
AUR,7.36,0.42,6.12
XPEV,24.0,1.36,6.03
ROKU,71.41,4.05,6.01
BA,170.97,9.4,5.82
PAGS,8.35,0.46,5.77
CORZ,8.49,0.47,5.86
MSTR,300.16,16.97,6.0
FIX,358.96,19.66,5.79
ECG,39.85,2.16,5.72
STRL,124.86,6.82,5.78
