symbol,price,price_change,price_percent_change
TNXP,22.6,4.41,24.24
ALNY,282.55,29.01,11.44
NFE,11.14,0.78,7.58
CYTK,46.06,2.96,6.87
SMCI,41.54,2.44,6.24
ROOT,162.35,9.71,6.36
RIVN,11.56,0.68,6.2
CELH,32.95,1.7,5.44
W,33.12,1.57,4.98
RDDT,114.1,5.35,4.92
IONQ,22.23,1.09,5.16
BA,181.21,8.38,4.85
TEM,50.15,2.1,4.38
CPRX,24.22,1.06,4.58
ASTS,25.86,1.17,4.74
GME,24.55,1.04,4.42
ROKU,77.07,3.25,4.39
ACHR,8.64,0.36,4.29
SIG,58.54,2.24,3.98
DSNKY,24.88,0.96,4.01
JOBY,6.57,0.24,3.71
AEO,12.3,0.45,3.84
MUFG,14.88,0.55,3.85
RBLX,60.08,2.17,3.74
WGS,100.12,3.41,3.53
