,symbol,price_percent_change,price,price_change
0,GRFX,364.29,1.3,1.02
1,OSRH,136.88,3.79,2.19
2,PTPI,133.56,0.135,0.08
3,VVPR,84.96,4.18,1.92
4,LXEH,75.1,18.21,7.81
5,SURG,70.29,2.35,0.97
6,AQB,50.73,1.02,0.34
7,OCEA,47.36,0.0837,0.03
8,DGLY,38.89,0.05,0.01
9,EDBL,32.7,3.835,0.95
10,LZMH,30.42,9.99,2.33
11,RDGT,28.85,1.21,0.27
12,HOUR,26.58,2.0,0.42
13,BNZI,26.21,1.3,0.27
14,ULY,23.79,4.84,0.93
15,WOR,23.76,51.52,9.89
16,AREB,23.64,0.136,0.03
17,ALMS,23.0,4.92,0.92
18,LYT,22.53,0.062,0.01
19,LICN,21.05,4.6,0.8
