,symbol,price,price_change,price_percent_change
0,DATS,4.47,2.31,106.94
1,DM,4.09,1.82,80.18
2,SYTA,3.28,0.96,41.38
3,MKFG,4.22,0.94,28.69
4,ALMS,4.6,0.82,21.85
5,AVTX,9.1,1.47,19.27
6,KBSX,2.66,0.4,17.7
7,PSIX,34.66,4.83,16.18
8,POET,4.53,0.38,9.04
9,DJT,22.88,1.87,8.9
10,PHUN,3.34,0.27,8.64
11,ZYBT,6.3,0.5,8.62
12,HYMC,3.65,0.24,7.04
13,FUFU,4.76,0.3,6.73
14,LXEO,4.35,0.26,6.36
15,TRVI,6.77,0.37,5.86
16,NET,131.07,7.14,5.76
17,SAND,7.24,0.39,5.69
18,TKC,6.21,0.32,5.43
19,BBAI,3.73,0.19,5.36
20,DOMH,5.77,0.28,5.06
21,FSM,6.24,0.3,5.05
22,CGAU,6.4,0.3,5.0
23,EGO,16.49,0.78,4.97
24,CDE,6.57,0.31,4.95
25,MRVI,2.35,0.11,4.91
26,ECX,2.88,0.14,4.91
27,WYNN,88.74,3.87,4.56
28,MBLY,15.95,0.69,4.52
29,TITN,18.56,0.79,4.45
30,IP,55.18,2.35,4.44
31,CRWD,388.97,16.33,4.38
32,OBE,6.04,0.25,4.32
33,BBD,2.32,0.1,4.28
34,NGD,3.36,0.14,4.18
35,VSAT,11.65,0.46,4.11
36,SSRM,11.25,0.44,4.07
37,DRD,14.38,0.53,3.79
38,UHS,188.43,6.85,3.77
39,HL,6.09,0.22,3.75
40,UFG,5.34,0.19,3.69
41,VZLA,2.4,0.09,3.66
42,DTSS,2.38,0.08,3.64
43,AXGN,18.81,0.66,3.64
44,KC,16.33,0.57,3.62
45,EQX,7.01,0.24,3.55
46,ETSY,47.48,1.62,3.53
47,MPW,6.32,0.21,3.52
48,SBS,17.81,0.59,3.43
49,CNNE,19.39,0.64,3.41
50,THC,133.79,4.3,3.32
51,DQ,18.65,0.59,3.27
52,AU,35.98,1.13,3.23
53,BTG,3.22,0.1,3.21
54,SKWD,54.25,1.67,3.18
55,TIGR,9.11,0.28,3.17
56,BRFS,3.44,0.1,3.14
57,ACMR,28.6,0.86,3.1
58,W,39.03,1.17,3.09
59,SVM,4.15,0.12,3.03
60,TME,14.6,0.42,3.0
61,ALDX,6.81,0.2,2.95
62,PRCH,7.06,0.2,2.92
63,PPTA,11.47,0.32,2.87
64,NXT,46.5,1.29,2.87
65,TEM,60.69,1.69,2.86
66,HMY,13.02,0.36,2.84
67,PBR,14.36,0.4,2.83
68,TTD,61.01,1.67,2.81
69,BAK,3.73,0.1,2.75
70,BTE,2.28,0.06,2.7
71,FCX,42.72,1.11,2.67
72,MUX,7.98,0.21,2.66
73,AG,7.14,0.18,2.66
74,NVEE,19.88,0.51,2.63
75,HCA,342.55,8.71,2.61
76,PAAS,26.54,0.67,2.59
77,KGC,12.52,0.32,2.58
78,VG,11.86,0.29,2.51
79,QFIN,45.56,1.11,2.5
80,OXY,49.12,1.2,2.49
81,OR,21.06,0.51,2.48
82,TTE,63.66,1.54,2.48
83,CLBT,20.37,0.49,2.46
84,SUPV,14.32,0.34,2.46
85,WIX,176.98,4.24,2.45
86,SHEL,73.02,1.74,2.44
87,RVLV,24.08,0.57,2.42
88,PNR,92.02,2.17,2.42
89,MNSO,18.79,0.44,2.4
90,IAG,6.08,0.14,2.36
91,YPF,37.02,0.85,2.35
92,PSN,61.88,1.42,2.35
93,DAVA,21.24,0.48,2.31
94,ING,20.22,0.45,2.25
95,ORLA,9.23,0.2,2.21
96,UBS,33.69,0.73,2.21
97,FTNT,102.0,2.21,2.21
98,SOC,26.46,0.57,2.2
99,NEM,47.84,1.02,2.18
