symbol,price,price_change,price_percent_change
DWTX,3.92,0.92,30.66
KSCP,3.84,0.84,28.03
USAR,14.69,2.94,25.01
PHIO,2.75,0.55,25.0
VERV,5.12,1.0,24.27
IE,6.1,1.05,20.79
VCIG,3.11,0.52,20.15
FRGE,11.5,1.87,19.44
VERO,4.47,0.72,19.1
RYET,6.11,0.89,17.07
DTIL,5.22,0.76,16.93
IPX,17.45,2.44,16.26
AVR,2.99,0.41,15.89
EOSE,4.89,0.67,15.88
BCG,2.5,0.29,13.16
RITR,4.18,0.48,12.97
AUUD,4.86,0.51,11.78
JNVR,73.67,7.73,11.72
NB,2.72,0.28,11.48
RDW,10.12,1.04,11.45
ZYBT,5.7,0.58,11.33
YSG,4.09,0.41,11.14
CING,4.46,0.44,10.94
MBOT,2.52,0.24,10.75
MWYN,5.04,0.48,10.53
BCYC,7.78,0.7,9.97
TUSK,2.49,0.22,9.69
LXEO,2.35,0.2,9.58
NMAX,28.46,2.46,9.48
ITOS,6.05,0.52,9.4
CTGO,13.5,1.16,9.4
RCKT,6.46,0.55,9.22
AEVA,7.84,0.66,9.15
ECOR,6.38,0.51,8.59
AUID,7.65,0.6,8.51
SSP,2.23,0.17,8.25
RKLB,20.7,1.57,8.21
BGLC,2.5,0.18,7.76
AMPY,2.48,0.17,7.61
TOPW,2.55,0.18,7.59
ERIC,8.01,0.56,7.52
DUOT,5.23,0.36,7.39
FDMT,2.98,0.2,7.37
TTAN,113.1,7.73,7.34
ROLR,2.93,0.19,6.97
NXDT,3.74,0.24,6.86
DJT,20.22,1.29,6.81
CRVS,3.24,0.21,6.8
VLN,2.44,0.15,6.77
BLBX,3.31,0.21,6.72
SKE,12.15,0.75,6.58
VFS,3.2,0.2,6.5
ANRO,2.22,0.14,6.49
SEZL,41.98,2.55,6.47
HMR,2.97,0.18,6.45
EWTX,13.1,0.77,6.24
TREE,45.67,2.66,6.17
NFLX,988.46,57.18,6.14
CVNA,217.1,12.37,6.04
ZBIO,9.01,0.51,6.0
ENTA,5.22,0.28,5.78
GRRR,19.13,1.02,5.63
SNCY,10.22,0.55,5.63
ARQ,3.77,0.2,5.61
CXDO,4.72,0.25,5.61
RAY,2.67,0.14,5.53
RGNX,6.68,0.35,5.53
CRVO,10.2,0.52,5.34
CRWD,398.76,20.1,5.31
NCT,6.0,0.3,5.26
COMM,3.62,0.18,5.23
ORKA,8.56,0.42,5.16
PGY,9.96,0.48,5.1
SRZN,9.97,0.48,5.06
MMYT,102.9,4.95,5.05
PAY,29.39,1.39,4.96
PL,3.3,0.15,4.94
HPE,14.98,0.7,4.9
TNXP,16.94,0.79,4.89
ALGS,4.84,0.23,4.88
SRRK,30.34,1.41,4.87
PLTR,97.11,4.49,4.85
VSAT,8.8,0.4,4.79
STRL,141.7,6.47,4.78
UPB,7.94,0.36,4.75
LU,2.59,0.12,4.7
SPOT,574.92,25.75,4.69
FUBO,3.02,0.14,4.69
PTCT,47.18,2.1,4.67
CURI,2.69,0.12,4.67
OPBK,11.1,0.49,4.67
YEXT,6.18,0.28,4.65
AMBC,6.98,0.31,4.65
FULT,16.4,0.72,4.63
MX,2.98,0.13,4.61
RBLX,59.5,2.6,4.56
MXL,10.35,0.45,4.55
LTRN,3.69,0.16,4.53
YMM,10.3,0.45,4.51
YMAB,5.15,0.22,4.46
