symbol,price_percent_change,price,price_change
AREB,393.18,19.53,15.57
IBO,99.16,0.924,0.46
AEHL,97.61,4.15,2.05
CXAI,77.24,1.43,0.62
LOCL,58.2,4.461,1.64
XHG,52.03,1.125,0.39
WCT,44.62,0.282,0.09
FORD,39.63,6.87,1.95
SOBR,38.29,4.8,1.33
MHLD,38.07,0.78,0.22
ICCT,37.78,5.83,1.6
NTHI,36.86,9.58,2.58
RGC,35.47,32.92,8.62
ALDX,33.1,1.89,0.47
NWTG,28.38,1.9,0.42
FTFT,28.11,1.65,0.36
VRCA,24.55,0.523,0.1
PAMT,22.23,13.58,2.47
NWTN,20.49,0.394,0.07
AUUD,20.2,4.82,0.81
