,symbol,price_percent_change,price,price_change
0,GATE,207.69,50.0,33.75
1,LYT,89.41,0.118,0.06
2,DRCT,69.32,1.33,0.54
3,GTEC,68.22,2.17,0.88
4,LGPS,58.0,2.765,1.02
5,ME,45.15,0.77,0.24
6,NKTX,43.8,1.97,0.6
7,CNXC,42.38,65.04,19.36
8,OCG,41.13,1.99,0.58
9,SLNO,37.61,67.39,18.42
10,MLGO,34.4,15.94,4.08
11,WOOF,31.56,3.21,0.77
12,BIYA,30.67,6.39,1.5
13,NCNA,27.53,1.07,0.23
14,PTLE,24.16,1.85,0.36
15,SISI,23.76,1.25,0.24
16,AGMH,23.47,0.0926,0.02
17,JFIN,22.64,14.84,2.74
18,HTZ,22.61,4.23,0.78
19,KDLY,21.64,2.08,0.37
