symbol,price,price_change,price_percent_change
BULL,62.9,49.65,374.72
STAK,2.22,1.08,94.74
USAR,11.75,3.44,41.4
THRD,5.09,1.45,39.84
BIYA,2.28,0.63,38.18
WGRX,3.83,0.94,32.53
MTSR,18.18,4.18,29.86
JNVR,65.94,14.73,28.76
FATN,8.11,1.75,27.52
VERV,4.12,0.86,26.38
ZYBT,5.12,1.06,26.11
AUID,7.05,1.37,24.12
AREB,7.6,1.39,22.38
CAPS,2.9,0.52,21.85
RNAC,13.0,2.33,21.84
MP,27.59,4.91,21.65
AEHL,3.42,0.59,20.85
BETR,12.4,2.12,20.62
FLD,3.24,0.55,20.45
ACON,10.0,1.67,20.05
ELWS,2.25,0.37,19.68
YSXT,4.04,0.66,19.47
SATL,4.47,0.72,19.2
GPCR,18.95,3.05,19.18
ABTS,2.1,0.33,18.87
PIII,8.99,1.41,18.6
NB,2.44,0.38,18.45
SUPV,15.42,2.33,17.8
NVCT,9.78,1.47,17.69
FORD,5.69,0.85,17.56
MGRX,1.82,0.26,16.29
PPTA,13.74,1.91,16.15
WTF,7.34,1.02,16.14
RITR,3.7,0.5,15.62
BMA,91.0,12.15,15.41
BKTI,45.73,6.08,15.33
LENZ,23.24,2.98,14.71
NAOV,7.75,0.98,14.48
BBAR,20.36,2.57,14.45
GGAL,61.43,7.56,14.03
CRVO,9.68,1.19,13.95
BYRN,20.43,2.5,13.94
NMAX,26.0,3.15,13.79
HKD,2.07,0.25,13.74
NVA,12.49,1.49,13.55
NIU,3.13,0.37,13.41
CARA,5.55,0.65,13.26
CYBN,7.7,0.9,13.24
SION,8.91,1.04,13.21
LOMA,11.33,1.32,13.19
MCRP,2.95,0.34,13.03
ALGS,4.61,0.53,12.99
JFIN,11.4,1.31,12.98
CRDF,2.79,0.32,12.96
UAMY,3.14,0.35,12.54
DSGN,3.25,0.36,12.46
SMMT,26.13,2.89,12.44
PVLA,24.44,2.68,12.32
RCKT,5.91,0.64,12.14
VALN,7.05,0.76,12.08
BZAI,2.91,0.31,11.92
KIDZ,2.08,0.22,11.83
TIL,16.8,1.77,11.78
CERT,14.4,1.49,11.54
NA,4.12,0.42,11.49
DPRO,2.43,0.25,11.47
SCPH,2.58,0.26,11.21
PAL,8.45,0.85,11.18
EDN,31.82,3.08,10.72
DXF,6.42,0.62,10.69
CNCK,5.5,0.53,10.66
VRDN,13.3,1.28,10.65
TGS,28.09,2.7,10.63
TECX,17.87,1.71,10.58
VKTX,24.57,2.35,10.58
PAM,76.91,7.32,10.52
YPF,33.13,3.1,10.32
AIXI,2.78,0.26,10.32
SONM,1.61,0.15,10.27
ETON,13.72,1.27,10.2
NTCL,10.15,0.93,10.03
CIIT,3.02,0.27,9.93
RPID,2.22,0.2,9.9
BEAM,17.0,1.53,9.89
IBRX,2.89,0.26,9.89
ENGS,5.36,0.48,9.84
AVTX,5.38,0.48,9.8
SURG,2.47,0.22,9.78
OSRH,1.58,0.14,9.72
CRGO,2.04,0.18,9.68
NVAX,6.41,0.55,9.39
QD,2.59,0.22,9.28
SEDG,13.92,1.16,9.09
SERV,5.79,0.48,9.04
ASPI,6.53,0.54,9.02
ALLT,5.82,0.48,8.99
BIRD,4.86,0.4,8.97
WAFD,26.74,2.2,8.96
CHMI,2.68,0.22,8.94
OM,11.06,0.9,8.86
