symbol,price,price_change,price_percent_change
RXRX,5.76,1.25,27.72
CERT,12.91,2.4,22.84
ZLAB,29.54,5.22,21.46
HNHPF,8.35,1.15,16.24
SMMT,23.24,3.09,15.33
CRSP,39.3,5.04,14.71
KC,14.22,1.57,12.41
GLNG,37.27,3.88,11.62
XPEV,20.01,2.04,11.35
PCVX,31.2,3.16,11.27
BBAR,17.83,1.77,11.02
FRO,15.51,1.48,10.51
AU,42.79,3.94,10.14
GGAL,53.87,4.95,10.12
BMA,78.7,7.2,10.07
MPWR,533.13,48.42,9.99
MSTR,299.98,27.64,10.15
HCM,13.72,1.19,9.5
RNECY,5.9,0.52,9.67
AUOTY,5.18,0.44,9.3
VONOY,15.41,1.28,9.07
YPF,30.05,2.47,8.96
IMPUY,6.07,0.49,8.78
TGS,25.3,2.01,8.63
MRUS,41.97,3.35,8.67
