symbol,price_percent_change,price,price_change
MLGO,446.03,13.76,11.24
IMTE,281.55,2.06,1.52
VVPR,148.45,3.205,1.92
TRSG,101.96,2.06,1.04
CAPS,61.05,2.77,1.05
XHLD,53.57,2.15,0.75
LXEO,50.18,4.07,1.36
KDLY,47.02,2.22,0.71
ABVE,44.01,0.605,0.18
PRPH,39.67,0.431,0.12
GDHG,39.5,1.96,0.55
LOT,38.29,2.185,0.6
DOMH,33.9,5.53,1.4
SAIH,32.5,7.46,1.83
TNXP,32.31,30.47,7.44
PLRZ,31.65,0.735,0.18
FLD,31.15,8.42,2.0
LUNR,29.9,9.21,2.12
NAK,29.21,1.15,0.26
GATE,28.79,14.94,3.34
