symbol,price_percent_change,price,price_change
STSS,70.0,0.0425,0.02
YYGH,50.59,1.235,0.41
ELPW,47.12,1.53,0.49
TMC,45.13,2.83,0.88
IMAB,42.98,0.956,0.29
MB,41.25,4.52,1.32
THRD,39.84,5.09,1.45
WXM,39.33,2.48,0.7
BW,38.39,0.413,0.11
BIYA,38.18,2.28,0.63
GGR,35.56,0.315,0.08
WGRX,32.53,3.83,0.94
LGMK,32.32,0.0131,0.0
AREC,32.0,0.635,0.15
JNVR,28.76,65.94,14.73
TOVX,27.19,1.45,0.31
AFMD,27.15,0.791,0.17
MTVA,26.9,1.84,0.39
PHIO,26.44,2.2,0.46
VERV,26.38,4.12,0.86
