symbol,price_percent_change,price,price_change
MSPR,95.31,2.5,1.22
MMA,91.92,1.52,0.73
PRTG,70.44,8.59,3.55
WTO,61.65,2.15,0.82
BFRG,48.94,2.1,0.69
CVM,47.62,0.31,0.1
THTX,45.86,1.94,0.61
CRML,40.26,2.16,0.62
STSS,36.61,0.025,0.01
CBLL,34.53,15.0,3.85
DRIO,30.5,0.726,0.17
RGC,28.47,36.28,8.04
RXRX,27.72,5.76,1.25
TNMG,27.66,0.6,0.13
SDGR,27.42,24.49,5.27
SLP,26.85,32.65,6.91
VRAX,26.44,1.11,0.23
ONCY,26.43,0.623,0.13
WKEY,26.27,4.23,0.88
HYFM,26.05,2.71,0.56
