,symbol,price_percent_change,price,price_change
0,TNON,347.81,4.38,3.4
1,DATS,98.13,4.28,2.12
2,DM,90.4,4.34,2.06
3,POAI,69.63,1.9,0.78
4,RAY,42.32,1.85,0.55
5,MKFG,28.91,4.228,0.95
6,GDHG,28.56,2.52,0.56
7,QVCGA,26.67,0.266,0.06
8,AISPW,24.65,1.434,0.28
9,KBSX,24.12,2.805,0.55
10,EHLD,22.5,6.17,1.13
11,PRPH,22.48,0.526,0.1
12,IOBT,22.0,1.22,0.22
13,FBRX,21.84,7.7,1.38
14,MLGO,21.4,16.98,2.99
15,SAIH,20.84,9.02,1.56
16,FUFU,20.4,5.37,0.91
17,ZYBT,18.75,6.89,1.09
18,AVTX,18.15,9.02,1.39
19,PSTV,17.55,1.34,0.2
