symbol,price,price_change,price_percent_change
AGL,5.31,-0.05,0.93
TNXP,19.74,-0.08,0.4
HUM,279.4,-2.55,0.9
SMPL,35.69,2.5,7.53
SMTOY,13.16,0.87,7.08
AVAV,120.7,-0.33,0.27
ALHC,18.74,-0.22,1.13
HCC,43.53,0.09,0.2
CVS,66.99,-0.64,0.95
UNH,554.99,1.91,0.35
DLICY,12.5,0.61,5.13
RYTM,55.33,-2.4,4.16
CVNA,179.79,3.47,1.97
HTHIY,19.88,0.94,4.96
LOAR,74.78,-0.51,0.68
PDI,17.7,-0.13,0.73
PAAS,22.8,1.08,4.97
FNMAS,10.6,0.45,4.43
STM,18.48,0.69,3.91
STRL,111.44,-2.39,2.1
LNSTY,34.8,1.35,4.04
VIK,35.47,-0.04,0.11
BGC,7.71,-0.09,1.15
XIACY,24.1,0.85,3.66
KC,11.85,0.39,3.36
