symbol,price,price_change,price_percent_change
CVNA,189.9,13.82,7.85
BE,25.83,1.52,6.27
FIVE,80.13,4.54,6.01
ACVA,15.42,0.81,5.54
TBBB,25.52,1.32,5.45
CAVA,85.38,4.38,5.41
JBSAY,14.61,0.72,5.18
DRI,197.59,9.44,5.02
JBL,146.37,6.89,4.94
CLS,96.01,4.09,4.45
TNXP,17.24,0.77,4.69
BOLSY,6.64,0.25,3.91
PKX,55.32,2.0,3.75
ALVO,11.76,0.42,3.71
UEC,5.66,0.15,2.71
IMVT,19.52,0.64,3.39
ALL,211.9,7.04,3.43
CALX,36.05,1.22,3.5
SNAP,9.33,0.29,3.26
RKT,14.57,0.47,3.33
PPC,52.1,1.63,3.23
SAM,226.34,7.18,3.27
LRN,124.73,3.36,2.77
COMP,9.12,0.24,2.7
AAP,37.99,1.08,2.91
