symbol,price,price_change,price_percent_change
PVH,76.47,11.83,18.3
HSAI,17.43,2.63,17.77
CLSK,7.56,0.84,12.5
PRGS,57.76,6.25,12.13
CORZ,8.0,0.76,10.5
RUM,7.7,0.63,8.91
WNS,66.57,5.08,8.27
BRPHF,11.39,0.85,8.06
BE,21.26,1.6,8.14
MNDY,262.18,19.02,7.82
NBIS,22.69,1.58,7.48
RIVN,13.28,0.83,6.67
APP,282.7,17.73,6.69
HCM,16.06,1.02,6.78
OS,22.68,1.34,6.28
MSTR,306.02,17.75,6.16
FMCC,5.66,0.31,5.79
RIOT,7.54,0.42,5.9
DOOO,35.75,1.94,5.74
CRZBY,24.09,1.29,5.66
DUOL,327.38,16.84,5.42
DSNKY,25.07,1.29,5.42
ASAN,15.31,0.74,5.08
LEVI,16.38,0.79,5.07
AEO,12.22,0.6,5.16
